GeneID,Value
101,1
116,1
146,1
147,1
148,1
150,1
151,1
152,1
153,1
154,1
155,1
177,1
183,1
242,1
246,1
259,1
284,1
331,1
348,1
351,1
355,1
369,1
408,1
409,1
553,1
634,1
650,1
652,1
673,1
677,1
678,1
728,1
799,1
857,1
858,1
859,1
920,1
939,1
948,1
958,1
960,1
972,1
975,1
983,1
1116,1
1139,1
1230,1
1234,1
1236,1
1326,1
1399,1
1432,1
1436,1
1490,1
1512,1
1540,1
1605,1
1616,1
1647,1
1652,1
1687,1
1739,1
1812,1
1815,1
1816,1
1824,1
1830,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1852,1
1856,1
1857,1
1880,1
1902,1
1906,1
1908,1
1950,1
1956,1
1969,1
2043,1
2045,1
2046,1
2047,1
2048,1
2064,1
2066,1
2081,1
2122,1
2146,1
2149,1
2150,1
2185,1
2192,1
2213,1
2218,1
2243,1
2244,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2257,1
2258,1
2259,1
2260,1
2261,1
2263,1
2264,1
2266,1
2305,1
2308,1
2321,1
2322,1
2324,1
2335,1
2358,1
2492,1
2621,1
2629,1
2633,1
2651,1
2688,1
2690,1
2852,1
2861,1
2873,1
2874,1
2885,1
2914,1
2950,1
3082,1
3084,1
3123,1
3146,1
3265,1
3276,1
3297,1
3301,1
3356,1
3357,1
3358,1
3375,1
3383,1
3476,1
3479,1
3480,1
3481,1
3489,1
3491,1
3551,1
3552,1
3553,1
3569,1
3570,1
3589,1
3630,1
3643,1
3685,1
3735,1
3791,1
3815,1
3845,1
3952,1
3965,1
3976,1
4055,1
4067,1
4077,1
4089,1
4155,1
4188,1
4205,1
4208,1
4215,1
4216,1
4217,1
4221,1
4281,1
4282,1
4294,1
4296,1
4342,1
4486,1
4504,1
4609,1
4616,1
4653,1
4671,1
4763,1
4838,1
4851,1
4853,1
4878,1
4893,1
4902,1
4908,1
4914,1
4915,1
4916,1
4988,1
5008,1
5027,1
5028,1
5031,1
5037,1
5058,1
5062,1
5063,1
5071,1
5151,1
5154,1
5155,1
5156,1
5159,1
5187,1
5245,1
5291,1
5294,1
5296,1
5300,1
5314,1
5319,1
5320,1
5322,1
5336,1
5345,1
5458,1
5468,1
5470,1
5478,1
5500,1
5501,1
5536,1
5578,1
5580,1
5590,1
5594,1
5595,1
5598,1
5599,1
5600,1
5601,1
5602,1
5603,1
5604,1
5605,1
5606,1
5607,1
5608,1
5609,1
5610,1
5716,1
5734,1
5770,1
5771,1
5774,1
5777,1
5778,1
5781,1
5788,1
5795,1
5801,1
5859,1
5871,1
5894,1
5906,1
5911,1
5972,1
5979,1
5997,1
6014,1
6091,1
6093,1
6098,1
6188,1
6237,1
6259,1
6278,1
6283,1
6300,1
6317,1
6348,1
6363,1
6366,1
6376,1
6386,1
6416,1
6464,1
6503,1
6504,1
6609,1
6647,1
6657,1
6662,1
6688,1
6764,1
6788,1
6789,1
6815,1
6850,1
6885,1
6899,1
6997,1
7010,1
7039,1
7040,1
7042,1
7057,1
7066,1
7098,1
7099,1
7124,1
7164,1
7186,1
7189,1
7345,1
7422,1
7423,1
7430,1
7444,1
7474,1
7476,1
7477,1
7494,1
7498,1
7531,1
7534,1
7538,1
7786,1
7805,1
7857,1
7984,1
8000,1
8036,1
8074,1
8106,1
8312,1
8315,1
8324,1
8412,1
8482,1
8491,1
8567,1
8600,1
8622,1
8685,1
8692,1
8737,1
8754,1
8767,1
8792,1
8817,1
8822,1
8823,1
8826,1
8829,1
8841,1
8844,1
8877,1
9020,1
9064,1
9175,1
9258,1
9261,1
9270,1
9283,1
9290,1
9344,1
9368,1
