module_annotation,module,node,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count,degree,module_content_number,llm_module_name
generation of neurons,Functional_module_126,GO:0048699;GO:0022008,generation of neurons;neurogenesis,95/1420,418/15876;468/15876,0.227272727272727,2.54097311139565,10.0065304099892,6.5153181049738e-18,8.75619145432776e-15,7.42772025053772e-15,ENSMFAG00000003264/ENSMFAG00000036633/ENSMFAG00000002479/ENSMFAG00000037091/ENSMFAG00000002250/ENSMFAG00000002296/ENSMFAG00000035494/ENSMFAG00000026235/ENSMFAG00000031286/ENSMFAG00000038687/ENSMFAG00000031700/ENSMFAG00000038895/ENSMFAG00000031053/ENSMFAG00000043391/ENSMFAG00000037191/ENSMFAG00000032113/ENSMFAG00000044870/ENSMFAG00000030114/ENSMFAG00000002835/ENSMFAG00000042541/ENSMFAG00000041588/ENSMFAG00000041702/ENSMFAG00000003931/ENSMFAG00000000748/ENSMFAG00000031365/ENSMFAG00000001975/ENSMFAG00000034143/ENSMFAG00000030986/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000002837/ENSMFAG00000003543/ENSMFAG00000030822/ENSMFAG00000004544/ENSMFAG00000039158/ENSMFAG00000032021/ENSMFAG00000041030/ENSMFAG00000032675/ENSMFAG00000044374/ENSMFAG00000001088/ENSMFAG00000044648/ENSMFAG00000000365/ENSMFAG00000038385/ENSMFAG00000041258/ENSMFAG00000033948/ENSMFAG00000031966/ENSMFAG00000002620/ENSMFAG00000032756/ENSMFAG00000003000/ENSMFAG00000000459/ENSMFAG00000031000/ENSMFAG00000034040/ENSMFAG00000040039/ENSMFAG00000037109/ENSMFAG00000042352/ENSMFAG00000033301/ENSMFAG00000034461/ENSMFAG00000001739/ENSMFAG00000044289/ENSMFAG00000001233/ENSMFAG00000036168,61,1,2,generation of neurons
neuron development,Functional_module_127,GO:0048666;GO:0000902;GO:0031175;GO:0043005;GO:0030182;GO:0048858;GO:0048812;GO:0120039;GO:0048667;GO:0097485;GO:0001764;GO:0048589;GO:0010975;GO:0001755;GO:0014032;GO:0014033;GO:0010977;GO:1990138;GO:0048588;GO:0060560;GO:0040007;GO:1902284,neuron development;cell morphogenesis;neuron projection development;neuron projection;neuron differentiation;cell projection morphogenesis;neuron projection morphogenesis;plasma membrane bounded cell projection morphogenesis;cell morphogenesis involved in neuron differentiation;neuron projection guidance;neuron migration;developmental growth;regulation of neuron projection development;neural crest cell migration;neural crest cell development;neural crest cell differentiation;negative regulation of neuron projection development;neuron projection extension;developmental cell growth;developmental growth involved in morphogenesis;growth;neuron projection extension involved in neuron projection guidance,78/1420,312/15876;282/15876;286/15876;463/15549;391/15876;199/15876;195/15876;198/15876;180/15876;110/15876;24/15876;58/15876;83/15876;26/15876;28/15876;28/15876;26/15876;34/15876;36/15876;36/15876;84/15876;20/15876,0.25,2.79507042253521,10.0363349387353,2.13715198352218e-17,1.45682526876762e-14,1.23579876099809e-14,ENSMFAG00000003264/ENSMFAG00000036633/ENSMFAG00000002479/ENSMFAG00000037091/ENSMFAG00000002250/ENSMFAG00000002296/ENSMFAG00000035494/ENSMFAG00000026235/ENSMFAG00000038687/ENSMFAG00000038895/ENSMFAG00000031053/ENSMFAG00000037191/ENSMFAG00000032113/ENSMFAG00000044870/ENSMFAG00000030114/ENSMFAG00000002835/ENSMFAG00000042541/ENSMFAG00000041588/ENSMFAG00000041702/ENSMFAG00000000748/ENSMFAG00000001975/ENSMFAG00000034143/ENSMFAG00000030986/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000002837/ENSMFAG00000003543/ENSMFAG00000030822/ENSMFAG00000004544/ENSMFAG00000039158/ENSMFAG00000032021/ENSMFAG00000041030/ENSMFAG00000044374/ENSMFAG00000001088/ENSMFAG00000044648/ENSMFAG00000000365/ENSMFAG00000038385/ENSMFAG00000041258/ENSMFAG00000031966/ENSMFAG00000002620/ENSMFAG00000032756/ENSMFAG00000000459/ENSMFAG00000031000/ENSMFAG00000034040/ENSMFAG00000040039/ENSMFAG00000037109/ENSMFAG00000039797/ENSMFAG00000045944/ENSMFAG00000034335/ENSMFAG00000042783/ENSMFAG00000031656/ENSMFAG00000032853/ENSMFAG00000000124/ENSMFAG00000041306/ENSMFAG00000032077/ENSMFAG00000036313/ENSMFAG00000040148/ENSMFAG00000031055/ENSMFAG00000042771/ENSMFAG00000035434/ENSMFAG00000001940/ENSMFAG00000003495/ENSMFAG00000033301/ENSMFAG00000039741/ENSMFAG00000041327/ENSMFAG00000003931/ENSMFAG00000031365/ENSMFAG00000001913/ENSMFAG00000046358/ENSMFAG00000037495/ENSMFAG00000032687/ENSMFAG00000033709/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000003353/ENSMFAG00000041742/ENSMFAG00000003000/ENSMFAG00000003332/ENSMFAG00000044834/ENSMFAG00000031591/ENSMFAG00000039040/ENSMFAG00000038633/ENSMFAG00000031550/ENSMFAG00000003075/ENSMFAG00000027682/ENSMFAG00000043391/ENSMFAG00000031286/ENSMFAG00000031700/ENSMFAG00000033948/ENSMFAG00000007179/ENSMFAG00000031057/ENSMFAG00000033026/ENSMFAG00000001846,93,3,22,Neurodevelopmental Pathways in Neuron Morphogenesis and Guidance
synapse,Functional_module_166,GO:0045202;GO:0099572;GO:0014069;GO:0098794;GO:0097060;GO:0099634;GO:0098839;GO:0045211;GO:0098793;GO:0048786;GO:0042734;GO:0098831;GO:0031594,synapse;postsynaptic specialization;postsynaptic density;postsynapse;synaptic membrane;postsynaptic specialization membrane;postsynaptic density membrane;postsynaptic membrane;presynapse;presynaptic active zone;presynaptic membrane;presynaptic active zone cytoplasmic component;neuromuscular junction,88/1404,433/15549;96/15549;87/15549;184/15549;134/15549;44/15549;39/15549;100/15549;169/15549;31/15549;40/15549;11/15549;20/15549,0.203233256351039,2.25076488817828,8.31611586678535,2.10226707215968e-13,4.18351147359777e-11,3.4189501331439e-11,ENSMFAG00000036313/ENSMFAG00000002250/ENSMFAG00000040148/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000001062/ENSMFAG00000002978/ENSMFAG00000004075/ENSMFAG00000037184/ENSMFAG00000001940/ENSMFAG00000003495/ENSMFAG00000043573/ENSMFAG00000041327/ENSMFAG00000039255/ENSMFAG00000032791/ENSMFAG00000034151/ENSMFAG00000031365/ENSMFAG00000001913/ENSMFAG00000031490/ENSMFAG00000033872/ENSMFAG00000034143/ENSMFAG00000046358/ENSMFAG00000052498/ENSMFAG00000044012/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000033117/ENSMFAG00000000986/ENSMFAG00000033709/ENSMFAG00000032301/ENSMFAG00000032675/ENSMFAG00000031946/ENSMFAG00000011695/ENSMFAG00000030419/ENSMFAG00000003353/ENSMFAG00000038385/ENSMFAG00000031966/ENSMFAG00000002620/ENSMFAG00000039677/ENSMFAG00000003000/ENSMFAG00000000124/ENSMFAG00000031204/ENSMFAG00000031591/ENSMFAG00000040160/ENSMFAG00000039040/ENSMFAG00000038633/ENSMFAG00000031550/ENSMFAG00000003075/ENSMFAG00000000612/ENSMFAG00000044647/ENSMFAG00000038127/ENSMFAG00000001373/ENSMFAG00000040869,53,4,13,Synaptic Transmission and Postsynaptic Density Regulation
cell adhesion,Functional_module_1,GO:0007155;GO:0098609;mcf04510;GO:0050839;mcf04520;GO:0005912;GO:0045296;mcf04514;GO:0098742;GO:0050840;GO:0098632;GO:0005925;GO:0007156,cell adhesion;cell-cell adhesion;Focal adhesion - Macaca fascicularis (crab-eating macaque);cell adhesion molecule binding;Adherens junction - Macaca fascicularis (crab-eating macaque);adherens junction;cadherin binding;Cell adhesion molecules - Macaca fascicularis (crab-eating macaque);cell-cell adhesion via plasma-membrane adhesion molecules;extracellular matrix binding;cell-cell adhesion mediator activity;focal adhesion;homophilic cell adhesion via plasma membrane adhesion molecules,92/1420,499/15876;323/15876;204/10949;191/15985;95/10949;87/15549;67/15985;169/10949;133/15876;20/15985;27/15985;59/15549;109/15876,0.18436873747495,2.06129441982557,7.54965864808471,1.1792280703600199e-11,2.19229218535112e-9,1.85968216263474e-9,ENSMFAG00000037091/ENSMFAG00000032319/ENSMFAG00000043359/ENSMFAG00000007179/ENSMFAG00000038158/ENSMFAG00000043753/ENSMFAG00000031678/ENSMFAG00000041228/ENSMFAG00000035494/ENSMFAG00000017883/ENSMFAG00000039520/ENSMFAG00000003635/ENSMFAG00000029911/ENSMFAG00000039466/ENSMFAG00000042951/ENSMFAG00000001084/ENSMFAG00000042431/ENSMFAG00000000082/ENSMFAG00000033394/ENSMFAG00000043845/ENSMFAG00000003975/ENSMFAG00000002835/ENSMFAG00000000210/ENSMFAG00000037125/ENSMFAG00000002025/ENSMFAG00000037495/ENSMFAG00000004661/ENSMFAG00000062691/ENSMFAG00000045138/ENSMFAG00000032301/ENSMFAG00000041030/ENSMFAG00000032675/ENSMFAG00000037073/ENSMFAG00000034335/ENSMFAG00000039266/ENSMFAG00000035429/ENSMFAG00000057813/ENSMFAG00000001088/ENSMFAG00000032853/ENSMFAG00000003995/ENSMFAG00000039677/ENSMFAG00000043861/ENSMFAG00000044029/ENSMFAG00000000459/ENSMFAG00000031000/ENSMFAG00000001695/ENSMFAG00000045029/ENSMFAG00000034131/ENSMFAG00000001848/ENSMFAG00000042681/ENSMFAG00000000196/ENSMFAG00000003264/ENSMFAG00000027291/ENSMFAG00000038711/ENSMFAG00000031556/ENSMFAG00000036522/ENSMFAG00000031022/ENSMFAG00000003726/ENSMFAG00000039013/ENSMFAG00000001164/ENSMFAG00000043366/ENSMFAG00000030983/ENSMFAG00000038064/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000043991/ENSMFAG00000003544/ENSMFAG00000000074/ENSMFAG00000001069/ENSMFAG00000033948/ENSMFAG00000046085/ENSMFAG00000002620/ENSMFAG00000040946/ENSMFAG00000031697/ENSMFAG00000028569/ENSMFAG00000045941/ENSMFAG00000031700/ENSMFAG00000000113/ENSMFAG00000034143/ENSMFAG00000033482/ENSMFAG00000031656/ENSMFAG00000034040/ENSMFAG00000002650/ENSMFAG00000003965/ENSMFAG00000041658/ENSMFAG00000043826/ENSMFAG00000044981/ENSMFAG00000033436/ENSMFAG00000034537/ENSMFAG00000043088/ENSMFAG00000043191/ENSMFAG00000036072/ENSMFAG00000000203/ENSMFAG00000042129/ENSMFAG00000040109/ENSMFAG00000040160/ENSMFAG00000040148/ENSMFAG00000031323/ENSMFAG00000034696/ENSMFAG00000000676/ENSMFAG00000065365/ENSMFAG00000004018/ENSMFAG00000039910/ENSMFAG00000031337/ENSMFAG00000039387/ENSMFAG00000044374/ENSMFAG00000001233/ENSMFAG00000045417/ENSMFAG00000032756,109,6,13,Cell Adhesion and Signaling in Development and Cancer
axonogenesis,Functional_module_15,GO:0007409;GO:0007411;GO:0061564;mcf04360;GO:0048675;GO:0048846,axonogenesis;axon guidance;axon development;Axon guidance - Macaca fascicularis (crab-eating macaque);axon extension;axon extension involved in axon guidance,42/1420,156/15876;110/15876;180/15876;181/10949;28/15876;20/15876,0.269230769230769,3.0100758396533,7.90724947861323,4.4079311987716195e-11,6.9340148472984405e-9,5.8820004984418104e-9,ENSMFAG00000003264/ENSMFAG00000002479/ENSMFAG00000037091/ENSMFAG00000002250/ENSMFAG00000035494/ENSMFAG00000026235/ENSMFAG00000038687/ENSMFAG00000038895/ENSMFAG00000031053/ENSMFAG00000044870/ENSMFAG00000034143/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000002837/ENSMFAG00000039158/ENSMFAG00000044374/ENSMFAG00000001088/ENSMFAG00000000365/ENSMFAG00000038385/ENSMFAG00000032756/ENSMFAG00000000459/ENSMFAG00000031000/ENSMFAG00000034040/ENSMFAG00000037109/ENSMFAG00000036633/ENSMFAG00000027291/ENSMFAG00000003655/ENSMFAG00000003779/ENSMFAG00000033235/ENSMFAG00000005287/ENSMFAG00000000082/ENSMFAG00000000600/ENSMFAG00000001164/ENSMFAG00000043366/ENSMFAG00000033868/ENSMFAG00000045395/ENSMFAG00000000074/ENSMFAG00000042942/ENSMFAG00000002620,39,1,6,Axon Guidance and Development in Neuronal Networks
plasma membrane protein complex,Functional_module_167,GO:0098797;GO:0098802,plasma membrane protein complex;plasma membrane signaling receptor complex,72/1404,363/15549;81/15549,0.198347107438017,2.19665183301547,7.26806443887851,1.09814479531332e-10,1.35034198743643e-8,1.10355904289304e-8,ENSMFAG00000035466/ENSMFAG00000032077/ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000031678/ENSMFAG00000040724/ENSMFAG00000003635/ENSMFAG00000041470/ENSMFAG00000000676/ENSMFAG00000059465/ENSMFAG00000037710/ENSMFAG00000044981/ENSMFAG00000031605/ENSMFAG00000036449/ENSMFAG00000001913/ENSMFAG00000002742/ENSMFAG00000002025/ENSMFAG00000042661/ENSMFAG00000004661/ENSMFAG00000034219/ENSMFAG00000003513/ENSMFAG00000038102/ENSMFAG00000034236/ENSMFAG00000004018/ENSMFAG00000034335/ENSMFAG00000044374/ENSMFAG00000001747/ENSMFAG00000011695/ENSMFAG00000032523/ENSMFAG00000032853/ENSMFAG00000002422/ENSMFAG00000003995/ENSMFAG00000001695/ENSMFAG00000034131/ENSMFAG00000040160/ENSMFAG00000007024/ENSMFAG00000004450,37,1,2,plasma membrane protein complex
asymmetric synapse,Functional_module_168,GO:0032279,asymmetric synapse,28/1404,87/15549,0.32183908045977,3.56429904705767,7.5563976935812,1.15002272934581e-9,6.53870066113758e-8,5.34371463711058e-8,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000001062/ENSMFAG00000043573/ENSMFAG00000034151/ENSMFAG00000031365/ENSMFAG00000001913/ENSMFAG00000052498/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000032301/ENSMFAG00000011695/ENSMFAG00000031966/ENSMFAG00000039677/ENSMFAG00000003000/ENSMFAG00000000612,16,0,1,asymmetric synapse
neuron to neuron synapse,Functional_module_169,GO:0098984,neuron to neuron synapse,28/1404,87/15549,0.32183908045977,3.56429904705767,7.5563976935812,1.15002272934581e-9,6.53870066113758e-8,5.34371463711058e-8,ENSMFAG00000036614/ENSMFAG00000042771/ENSMFAG00000001062/ENSMFAG00000043573/ENSMFAG00000034151/ENSMFAG00000031365/ENSMFAG00000001913/ENSMFAG00000052498/ENSMFAG00000041003/ENSMFAG00000004661/ENSMFAG00000032301/ENSMFAG00000011695/ENSMFAG00000031966/ENSMFAG00000039677/ENSMFAG00000003000/ENSMFAG00000000612,16,0,1,neuron to neuron synapse
GTPase regulator activity,Functional_module_130,GO:0030695;GO:0060589;GO:0050790;GO:0043085;GO:0044093;GO:0043087;GO:0051336;GO:0043547;GO:0051345;GO:0005096;GO:0008047;GO:0043408;GO:0043549;GO:0043410;GO:0051338;GO:0033674;GO:0141108;GO:0051347;GO:0015459,GTPase regulator activity;nucleoside-triphosphatase regulator activity;regulation of catalytic activity;positive regulation of catalytic activity;positive regulation of molecular function;regulation of GTPase activity;regulation of hydrolase activity;positive regulation of GTPase activity;positive regulation of hydrolase activity;GTPase activator activity;enzyme activator activity;regulation of MAPK cascade;regulation of kinase activity;positive regulation of MAPK cascade;regulation of transferase activity;positive regulation of kinase activity;transporter regulator activity;positive regulation of transferase activity;potassium channel regulator activity,66/1457,331/15985;331/15985;456/15876;247/15876;314/15876;154/15876;228/15876;117/15876;129/15876;146/15985;267/15985;135/15876;179/15876;79/15876;185/15876;89/15876;72/15985;93/15876;29/15985,0.199395770392749,2.18760562095271,6.91421965476644,7.89367757296779e-10,2.69174405238202e-7,2.35563957045933e-7,ENSMFAG00000041357/ENSMFAG00000036484/ENSMFAG00000002250/ENSMFAG00000031055/ENSMFAG00000043639/ENSMFAG00000002425/ENSMFAG00000042140/ENSMFAG00000003018/ENSMFAG00000032110/ENSMFAG00000045464/ENSMFAG00000043826/ENSMFAG00000037631/ENSMFAG00000044100/ENSMFAG00000043770/ENSMFAG00000038037/ENSMFAG00000039260/ENSMFAG00000000128/ENSMFAG00000044002/ENSMFAG00000002404/ENSMFAG00000041327/ENSMFAG00000031374/ENSMFAG00000030983/ENSMFAG00000035476/ENSMFAG00000044012/ENSMFAG00000045661/ENSMFAG00000041030/ENSMFAG00000002321/ENSMFAG00000042942/ENSMFAG00000002995/ENSMFAG00000032965/ENSMFAG00000039275/ENSMFAG00000032638/ENSMFAG00000001770/ENSMFAG00000038831/ENSMFAG00000034054/ENSMFAG00000033053/ENSMFAG00000026109/ENSMFAG00000020572/ENSMFAG00000041247/ENSMFAG00000001732/ENSMFAG00000001785/ENSMFAG00000042041/ENSMFAG00000002402/ENSMFAG00000044993/ENSMFAG00000042663/ENSMFAG00000045941/ENSMFAG00000041772/ENSMFAG00000042352/ENSMFAG00000032705/ENSMFAG00000031323/ENSMFAG00000032238/ENSMFAG00000039689/ENSMFAG00000000901/ENSMFAG00000044813/ENSMFAG00000039723/ENSMFAG00000013259/ENSMFAG00000042836/ENSMFAG00000039013/ENSMFAG00000044870/ENSMFAG00000031325/ENSMFAG00000034143/ENSMFAG00000000670/ENSMFAG00000032687/ENSMFAG00000002201/ENSMFAG00000035766/ENSMFAG00000034429/ENSMFAG00000030822/ENSMFAG00000033978/ENSMFAG00000040522/ENSMFAG00000001747/ENSMFAG00000039184/ENSMFAG00000034537/ENSMFAG00000045752/ENSMFAG00000003462/ENSMFAG00000040946/ENSMFAG00000031697/ENSMFAG00000045272/ENSMFAG00000042354/ENSMFAG00000008235/ENSMFAG00000038070/ENSMFAG00000033963/ENSMFAG00000039646/ENSMFAG00000032674/ENSMFAG00000045995/ENSMFAG00000000366/ENSMFAG00000037315/ENSMFAG00000038102/ENSMFAG00000042791/ENSMFAG00000003418/ENSMFAG00000040038/ENSMFAG00000003264/ENSMFAG00000041228/ENSMFAG00000036183/ENSMFAG00000045614/ENSMFAG00000037397/ENSMFAG00000034278/ENSMFAG00000037347/ENSMFAG00000034040/ENSMFAG00000032077/ENSMFAG00000036517/ENSMFAG00000059465/ENSMFAG00000045895/ENSMFAG00000036449/ENSMFAG00000039113/ENSMFAG00000042661/ENSMFAG00000032021/ENSMFAG00000002422,107,5,19,Regulation of Rho GTPase Signaling in Cancer and Cell Migration
axon,Functional_module_170,GO:0030424,axon,39/1404,162/15549,0.240740740740741,2.66615226337449,6.7160599132617,9.259759138251471e-9,4.09487126336009e-7,3.34650944294702e-7,ENSMFAG00000032077/ENSMFAG00000037091/ENSMFAG00000035494/ENSMFAG00000035434/ENSMFAG00000045944/ENSMFAG00000003495/ENSMFAG00000042541/ENSMFAG00000041327/ENSMFAG00000030986/ENSMFAG00000037495/ENSMFAG00000001088/ENSMFAG00000003353/ENSMFAG00000038385/ENSMFAG00000031966/ENSMFAG00000002620/ENSMFAG00000032756/ENSMFAG00000003332/ENSMFAG00000031000/ENSMFAG00000038633/ENSMFAG00000031550,20,0,1,axon
