ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
BP,GO:0048699,generation of neurons,95/1420,418/15876,0.22727272727272727,2.5409731113956466,10.006530409989184,6.5153181049737985e-18,8.756191454327762e-15,7.427720250537719e-15,ADGRB3/ASTN2/SEMA3E/PAK1/PLP1/APP/DMD/NPTN/TIAM1/PBX1/CTNND2/CNTN1/ASTN1/MYO6/UNC5C/ULK2/NEDD4/ABI2/APLP1/ABI1/SEMA5A/CDKL5/ROBO1/MYCBP2/ACSL3/SEMA4D/NRCAM/MAP2/CYFIP1/STMN4/RYK/DCLK1/TENM2/SHTN1/STMN1/BRINP3/VAPA/PPP1R9A/MYO16/BRINP1/SLC4A7/CNTN5/DTNBP1/RTN1/TENM3/NCKAP1/NFASC/PTPRO/GPM6A/GAP43/CDH2/DCC/RUNX1/EPHA3/USH1C/EPHA5/HECW1/MUSK/RB1/UNC5D/NEDD4L/THY1/VCAN/SEMA6A/PLXNA4/ATP8A2/RUNX2/DAG1/CNTN6/RIT2/WHRN/SEMA3C/NRP2/CAMSAP2/DSCAM/RELN/TMEM108/GSK3B/NAV1/SLIT1/NRP1/DISC1/RTN4/NTRK2/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/FRY/NYAP2/EPHB1/ABI3/EPHA4,95
BP,GO:0022008,neurogenesis,102/1420,468/15876,0.21794871794871795,2.4367280606717228,9.887837832664754,8.563512424770428e-18,8.756191454327762e-15,7.427720250537719e-15,ADGRB3/ASTN2/SEMA3E/ERBB4/PAK1/PLP1/APP/DMD/NPTN/TIAM1/PBX1/CTNND2/CNTN1/ASTN1/MYO6/UNC5C/ULK2/NEDD4/ABI2/APLP1/ABI1/SEMA5A/CDKL5/ROBO1/MYCBP2/ACSL3/SEMA4D/NRCAM/MAP2/TRAK1/CYFIP1/LPAR1/STMN4/RYK/DCLK1/TENM2/SHTN1/STMN1/BRINP3/VAPA/PPP1R9A/MYO16/BRINP1/SLC4A7/CNTN5/DTNBP1/RTN1/TENM3/NCKAP1/NFASC/PTPRO/GPM6A/GAP43/CDH2/DCC/RUNX1/EPHA3/NAV2/USH1C/EPHA5/HECW1/MUSK/RB1/UNC5D/NEDD4L/THY1/VCAN/SEMA6A/PLXNA4/ATP8A2/RUNX2/DAG1/CNTN6/RIT2/WHRN/SEMA3C/NRP2/CAMSAP2/DSCAM/RELN/TMEM108/GSK3B/NAV1/SLIT1/NAV3/NRP1/DISC1/RTN4/NTRK2/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/FRY/ADGRG6/NYAP2/DAAM2/EPHB1/ABI3/EPHA4,102
BP,GO:0048666,neuron development,78/1420,312/15876,0.25,2.795070422535211,10.036334938735312,2.1371519835221807e-17,1.4568252687676198e-14,1.235798760998089e-14,ADGRB3/SEMA3E/PAK1/PLP1/APP/DMD/NPTN/TIAM1/PBX1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/MAP2/CYFIP1/STMN4/RYK/DCLK1/TENM2/SHTN1/STMN1/VAPA/PPP1R9A/MYO16/SLC4A7/CNTN5/DTNBP1/TENM3/NCKAP1/NFASC/PTPRO/GPM6A/GAP43/CDH2/DCC/EPHA3/USH1C/EPHA5/HECW1/MUSK/RB1/UNC5D/NEDD4L/THY1/SEMA6A/PLXNA4/ATP8A2/DAG1/CNTN6/RIT2/WHRN/SEMA3C/NRP2/CAMSAP2/DSCAM/TMEM108/GSK3B/SLIT1/NRP1/NTRK2/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/FRY/NYAP2/EPHB1/EPHA4,78
BP,GO:0000902,cell morphogenesis,72/1420,282/15876,0.2553191489361702,2.8545400059934067,9.848247737404385,1.1151650273560144e-16,5.701281202357624e-14,4.836294644954505e-14,SEMA3E/PAK1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/MYO10/PHIP/ULK2/NEDD4/APLP1/ERMN/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/MYH10/RYK/DCLK1/SHTN1/CDH19/MYO16/CNTN5/NCKAP1/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/HECW1/RB1/UNC5D/NEDD4L/FMNL2/SEMA6A/CDH20/PLXNA4/PCDH15/DAG1/FMNL3/CNTN6/RDX/WHRN/SEMA3C/CDH7/NRP2/DSCAM/TMEM108/SLIT1/NRP1/CSPG5/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/CDHR3/FRY/ARHGEF28/RHOBTB1/NYAP2/EPHB1/CDH11/EPHA4,72
BP,GO:0031175,neuron projection development,71/1420,286/15876,0.24825174825174826,2.7755244755244757,9.496500419808498,8.951624163221966e-16,3.6612142827577843e-13,3.1057424465241687e-13,SEMA3E/PAK1/PLP1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/MAP2/CYFIP1/STMN4/RYK/DCLK1/SHTN1/STMN1/VAPA/PPP1R9A/MYO16/CNTN5/DTNBP1/NCKAP1/NFASC/PTPRO/GPM6A/GAP43/CDH2/DCC/EPHA3/USH1C/EPHA5/HECW1/MUSK/RB1/UNC5D/NEDD4L/THY1/SEMA6A/PLXNA4/DAG1/CNTN6/RIT2/WHRN/SEMA3C/NRP2/CAMSAP2/DSCAM/TMEM108/GSK3B/SLIT1/NRP1/NTRK2/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/FRY/NYAP2/EPHB1/EPHA4,71
BP,GO:0030182,neuron differentiation,86/1420,391/15876,0.21994884910485935,2.4590900904146102,9.155706265872537,2.012311584940464e-15,6.858628652005414e-13,5.818051740319097e-13,ADGRB3/SEMA3E/PAK1/PLP1/APP/DMD/NPTN/TIAM1/PBX1/CTNND2/CNTN1/MYO6/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/ACSL3/SEMA4D/NRCAM/MAP2/CYFIP1/STMN4/RYK/DCLK1/TENM2/SHTN1/STMN1/BRINP3/VAPA/PPP1R9A/MYO16/BRINP1/SLC4A7/CNTN5/DTNBP1/RTN1/TENM3/NCKAP1/NFASC/PTPRO/GPM6A/GAP43/CDH2/DCC/RUNX1/EPHA3/USH1C/EPHA5/HECW1/MUSK/RB1/UNC5D/NEDD4L/THY1/SEMA6A/PLXNA4/ATP8A2/RUNX2/DAG1/CNTN6/RIT2/WHRN/SEMA3C/NRP2/CAMSAP2/DSCAM/TMEM108/GSK3B/SLIT1/NRP1/RTN4/NTRK2/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/FRY/NYAP2/EPHB1/EPHA4,86
BP,GO:0048858,cell projection morphogenesis,54/1420,199/15876,0.271356783919598,3.033845282751787,9.048778154936654,5.2220414493174026e-14,1.5255821091220126e-11,1.2941239561616662e-11,SEMA3E/PAK1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/DCLK1/SHTN1/MYO16/CNTN5/NCKAP1/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/HECW1/UNC5D/NEDD4L/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/TMEM108/SLIT1/NRP1/CSPG5/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/NYAP2/EPHB1/EPHA4,54
BP,GO:0048812,neuron projection morphogenesis,53/1420,195/15876,0.2717948717948718,3.0387432286023834,8.97780006103115,8.339053300218255e-14,2.1316704998682917e-11,1.8082578735210115e-11,SEMA3E/PAK1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/DCLK1/SHTN1/MYO16/CNTN5/NCKAP1/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/HECW1/UNC5D/NEDD4L/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/TMEM108/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/NYAP2/EPHB1/EPHA4,53
BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,53/1420,198/15876,0.2676767676767677,2.9927016645326505,8.843140355376526,1.635489984431015e-13,3.716196686846029e-11,3.1523830343184944e-11,SEMA3E/PAK1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/DCLK1/SHTN1/MYO16/CNTN5/NCKAP1/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/HECW1/UNC5D/NEDD4L/SEMA6A/PLXNA4/DAG1/CNTN6/SEMA3C/NRP2/DSCAM/TMEM108/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/ANKRD27/NYAP2/EPHB1/EPHA4,53
BP,GO:0048667,cell morphogenesis involved in neuron differentiation,48/1420,180/15876,0.26666666666666666,2.9814084507042256,8.379010561886284,2.65722065973319e-12,5.434016249154374e-10,4.609578576042418e-10,SEMA3E/PAK1/APP/NPTN/TIAM1/CTNND2/CNTN1/UNC5C/ULK2/NEDD4/APLP1/SEMA5A/CDKL5/ROBO1/MYCBP2/SEMA4D/NRCAM/CYFIP1/RYK/CNTN5/NFASC/PTPRO/GAP43/CDH2/DCC/EPHA3/EPHA5/HECW1/RB1/UNC5D/NEDD4L/SEMA6A/PLXNA4/DAG1/CNTN6/WHRN/SEMA3C/NRP2/DSCAM/SLIT1/NRP1/EFNA5/BOC/SEMA6D/SEMA7A/MAP1B/EPHB1/EPHA4,48
