category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Cellular Processes,Cellular community - eukaryotes,mcf04510,Focal adhesion - Macaca fascicularis (crab-eating macaque),35/553,204/10949,0.1715686274509804,3.396934723256391,7.970120825636429,1.4479304599465984e-10,4.445146512036057e-8,2.209999123076387e-8,101866132/102135875/101865406/102137879/102133302/102127262/102116249/102132631/102141214/102116992/102129227/102121021/102135329/102118376/101925550/102133054/101865181/102126339/102137291/101866246/102132640/102140241/101867036/102126878/101866436/102129690/102133022/102133756/102119572/102132595/102146984/102141221/102125183/102123592/102131974,35
Environmental Information Processing,Signal transduction,mcf04010,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque),40/553,296/10949,0.13513513513513514,2.6755779287424857,6.740177717575542,1.047683040114434e-8,1.153585494120326e-6,5.735295616233406e-7,102141308/101866132/102135875/102134477/102145680/102134273/102143296/102115080/101926461/101925493/101865361/102135088/102124885/102115287/102141214/102116992/102130815/102123994/101866525/101925657/102126339/102133222/102140164/102124214/101867475/102140241/102137116/101866436/102144714/102133022/101925182/102143086/102141609/102115345/102138136/101925060/102131294/102118759/102125183/102116370,40
Human Diseases,Cancer: specific types,mcf05215,Prostate cancer - Macaca fascicularis (crab-eating macaque),22/553,106/10949,0.20754716981132076,4.109283837729025,7.418829628249384,1.1272822418113936e-8,1.153585494120326e-6,5.735295616233406e-7,102146405/101926487/102141214/102135329/101866865/102137291/101866246/101866140/101865178/102145859/101867458/102123367/101867036/101867139/101866436/102144714/102133756/102143086/102136323/102146984/102116470/102125183,22
Human Diseases,Cancer: overview,mcf05205,Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque),31/553,207/10949,0.1497584541062802,2.9651090669252476,6.583033767272137,4.655369863792143e-8,3.5729963704604697e-6,1.7763911322364756e-6,102141308/101866132/102135875/101865530/102133302/102143296/101926461/102116249/101926602/102141214/102116992/102132387/102121021/102135329/101925550/102133054/101865181/101867274/102137291/101866246/102140241/101865352/101866436/102144714/101925182/102136323/101865745/102146984/102142941/101866092/102115744,31
Organismal Systems,Nervous system,mcf04724,Glutamatergic synapse - Macaca fascicularis (crab-eating macaque),22/553,116/10949,0.1896551724137931,3.7550352310282467,6.879844218962904,6.32544149220896e-8,3.883821076216301e-6,1.930924244990103e-6,102135875/101925220/102117873/102134477/102119891/102133810/101926081/101926461/102125173/102116992/102130114/102122335/102116971/101866847/101866657/101865995/101926704/102117589/102115744/102140615/101866879/102123532,22
Organismal Systems,Immune system,mcf04666,Fc gamma R-mediated phagocytosis - Macaca fascicularis (crab-eating macaque),20/553,99/10949,0.20202020202020202,3.9998538732715945,6.915118918273065,8.442845521695964e-8,4.3199226252677684e-6,2.1477414046419557e-6,101866132/102135875/101865406/102142497/101864919/102126222/102141214/102116992/102145183/101865181/102137291/101866246/102124562/102135864/101926283/102117163/102121794/102115729/102143982/102131974,20
Environmental Information Processing,Signal transduction,mcf04024,cAMP signaling pathway - Macaca fascicularis (crab-eating macaque),32/553,226/10949,0.1415929203539823,2.8034374049832773,6.3182086575665535,1.0834436057912606e-7,4.751674099684529e-6,2.362395832176433e-6,101866132/101865530/102146405/102133810/102143296/101925799/101865168/101926461/102137767/101866377/102141214/102130114/101866950/102133054/102122335/101865181/102126339/102137291/101866246/102122757/102124503/102130603/101867458/102123367/101865995/102132307/101866436/102133022/102146467/102116839/102142941/101866879,32
Environmental Information Processing,Signal transduction,mcf04014,Ras signaling pathway - Macaca fascicularis (crab-eating macaque),33/553,240/10949,0.1375,2.7224005424954796,6.222460376518902,1.3896174360040026e-7,5.33265691066536e-6,2.651243792376058e-6,101866132/102135875/101865530/101925083/102140481/102143296/101865168/101926461/102125173/102125141/101866377/102141084/102141214/102116992/102123994/102126339/102116653/102137291/101866246/102124214/101866657/101867475/102140241/102140348/102144714/102121794/102133022/102143086/102141609/101865745/102142941/101866879/102125183,33
Environmental Information Processing,Signal transduction,mcf04151,PI3K-Akt signaling pathway - Macaca fascicularis (crab-eating macaque),44/553,379/10949,0.11609498680738786,2.2985967641122778,5.93407802348906,1.8396578463285932e-7,6.275277320254202e-6,3.1198875756449825e-6,102141308/102135875/101866184/102146405/102137879/102133302/102125257/101926487/102127262/102116249/102125173/102132631/102131212/102141214/102129227/101864894/102135329/101925779/101866865/102123994/101925550/102115184/101867274/102137291/101866246/102124214/101866657/102133649/102132640/102140241/102123367/101867036/102144714/102129690/102133756/101867078/102143086/102136323/102119572/102141609/102132595/102141221/102125183/102123592,44
Environmental Information Processing,Signal transduction,mcf04015,Rap1 signaling pathway - Macaca fascicularis (crab-eating macaque),31/553,221/10949,0.14027149321266968,2.777274103409621,6.15584947650979,2.1271552805633684e-7,6.530366711329541e-6,3.2467106913861938e-6,102135875/101925220/101865530/102145680/102140481/101865168/101866377/102141214/102127679/102116992/101864894/102118376/102123994/102130114/101865181/102137291/101866246/102124214/102140241/102140172/101866436/102144714/102133022/102143086/102141609/102146984/102142941/101925060/102140615/101866879/102125183,31
Human Diseases,Drug resistance: antineoplastic,mcf01521,EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque),17/553,80/10949,0.2125,4.207346292947559,6.640379136553416,3.6895692842305803e-7,1.0297252456898075e-5,5.119498049889323e-6,102135875/102141214/102116992/101925779/101867274/102137291/101866246/102145460/101867475/102140241/101867036/101866436/102133756/101867078/102143086/101865745/102125183,17
