ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
BP,GO:0000902,cell morphogenesis,96/2048,282/15876,0.3404255319148936,2.6389627659574466,10.687030141635052,2.5461377542601465e-20,5.611687610389363e-17,4.754577237955263e-17,MYH14/EPHB1/CDH26/NTRK3/TRIO/SRCIN1/MYO10/PAK3/CDH20/CNTN1/PALM/PLXNA2/CDH11/FMNL2/PCDH15/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/SLIT3/NCKAP1/DSCAML1/EPHA6/FMNL3/ULK2/CDH9/APLP1/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/EPHA3/CNTN5/EFNA5/CDH7/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/RHOBTB1/CDH12/CHL1/SEMA6D/NYAP2/RHOBTB2/PACSIN1/RUFY3/SLIT1/BDNF/CDH13/CDH2/EMB/DCC/SEMA5A/FAT3/SPTBN4/PLXNA4/CAP2/EPHA5/PDZD7/ARHGAP35/SIPA1L3/TIAM1/SEMA4B/IGDCC4/GAS7/TMEM108/CDH4/TANC2/FRYL/FRY/RDX/NRP2/BRWD1/PAK1/ARHGEF2/DOCK7/CAPZB/SHTN1/NEDD4/PAK2/MYCBP2/SEMA3C/MAP1A/CDH19/SLIT2/DOCK10/PLXNB3/ANKRD27,96
BP,GO:0048666,neuron development,98/2048,312/15876,0.3141025641025641,2.4349083533653846,9.851060981226848,5.856520809206976e-18,6.453885931746087e-15,5.468141008175356e-15,RP1/EPHB1/NTRK3/TRIO/SRCIN1/LGI4/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/RIT2/SLIT3/NCKAP1/DSCAML1/EPHA6/MAP2/ULK2/TENM1/DTNBP1/APLP1/SLC4A7/TENM3/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/PBX1/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/TENM2/CHL1/SEMA6D/NYAP2/ATP8A2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/SPTBN4/PLXNA4/SRRM4/ROR1/EPHA5/PDZD7/ARHGAP35/TENM4/TIAM1/SEMA4B/IGDCC4/GAS7/TMEM108/SEZ6/TANC2/FRYL/FRY/NRP2/MCF2/PAK1/DOCK7/SHTN1/NEDD4/SCLT1/PBX3/PAK2/MYCBP2/SEMA3C/IFT88/MAP1A/CAMSAP1/SLIT2/DMD/CRTAC1/DOCK10/STMN4/ROR2/PLXNB3/ANKRD27/MAPT/LRRC7,98
BP,GO:0048699,generation of neurons,117/2048,418/15876,0.2799043062200957,2.169805061303828,9.327540494616864,7.116914633560073e-17,5.2285599507887994e-14,4.429967214012481e-14,ALK/RP1/EPHB1/NTRK3/TRIO/SRCIN1/LGI4/DAB1/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/RIT2/SLIT3/NCKAP1/DSCAML1/EPHA6/MAP2/ULK2/TENM1/DISC1/DTNBP1/RTN4/APLP1/SLC4A7/TENM3/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/PBX1/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/ASTN1/CNTN3/HECW1/EPHA4/ANOS1/TENM2/CHL1/SEMA6D/NYAP2/ATP8A2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/ASTN2/SPTBN4/PLXNA4/KIAA0319/SRRM4/ROR1/EPHA5/PDZD7/ARHGAP35/TENM4/KIAA0319L/TIAM1/BRINP2/SEMA4B/IGDCC4/GAS7/TMEM108/SEZ6/TANC2/FRYL/FRY/NRP2/MCF2/AKNA/NAV1/PAK1/ARHGEF2/DOCK7/RTN1/SDCCAG8/RUNX1/SHTN1/NEDD4/SCLT1/PBX3/PAK2/HAPLN2/MYCBP2/SEMA3C/IFT88/MAP1A/CAMSAP1/SLIT2/DMD/CRTAC1/DOCK10/STMN4/ROR2/PLXNB3/ACAN/ANKRD27/MAPT/LRRC7/BRINP1,117
BP,GO:0022008,neurogenesis,125/2048,468/15876,0.2670940170940171,2.070500300480769,9.046461575450898,3.3127021735720515e-16,1.8252988976382003e-13,1.5465088568202159e-13,ALK/DAAM2/EGFR/RP1/EPHB1/NTRK3/TRIO/SRCIN1/LGI4/DAB1/PAK3/CNTN1/NAV2/TRAK1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/NAV3/CNTN2/RIT2/SLIT3/NCKAP1/DSCAML1/EPHA6/MAP2/ULK2/TENM1/DISC1/DTNBP1/RTN4/APLP1/SLC4A7/TENM3/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/PBX1/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/ASTN1/CNTN3/HECW1/EPHA4/ANOS1/TENM2/CHL1/SEMA6D/NYAP2/ATP8A2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/ASTN2/SPTBN4/PLXNA4/KIAA0319/SRRM4/ROR1/EPHA5/PDZD7/ARHGAP35/TENM4/KIAA0319L/TIAM1/BRINP2/SEMA4B/IGDCC4/GAS7/TMEM108/SEZ6/TANC2/FRYL/FRY/SERPINF1/BHLHE41/NRP2/MCF2/AKNA/NAV1/PAK1/ARHGEF2/DOCK7/RTN1/SDCCAG8/RUNX1/SHTN1/NEDD4/SCLT1/PBX3/PAK2/HAPLN2/MYCBP2/SEMA3C/IFT88/MAP1A/CAMSAP1/SLIT2/DMD/CRTAC1/DOCK10/STMN4/MYRF/ROR2/PLXNB3/ACAN/ANKRD27/MAPT/LRRC7/BRINP1,125
BP,GO:0048812,neuron projection morphogenesis,69/2048,195/15876,0.35384615384615387,2.7429987980769233,9.424746411183897,5.970617772188058e-16,2.631848313980496e-13,2.2298686163919192e-13,EPHB1/NTRK3/TRIO/SRCIN1/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/SLIT3/NCKAP1/DSCAML1/EPHA6/ULK2/APLP1/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/CHL1/SEMA6D/NYAP2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/SPTBN4/PLXNA4/EPHA5/ARHGAP35/TIAM1/SEMA4B/IGDCC4/GAS7/TMEM108/TANC2/NRP2/PAK1/DOCK7/SHTN1/NEDD4/PAK2/MYCBP2/SEMA3C/MAP1A/SLIT2/DOCK10/PLXNB3/ANKRD27,69
BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,69/2048,198/15876,0.3484848484848485,2.701438210227273,9.271406108401498,1.4643255541411885e-15,5.378955868878633e-13,4.557392163239419e-13,EPHB1/NTRK3/TRIO/SRCIN1/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/SLIT3/NCKAP1/DSCAML1/EPHA6/ULK2/APLP1/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/CHL1/SEMA6D/NYAP2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/SPTBN4/PLXNA4/EPHA5/ARHGAP35/TIAM1/SEMA4B/IGDCC4/GAS7/TMEM108/TANC2/NRP2/PAK1/DOCK7/SHTN1/NEDD4/PAK2/MYCBP2/SEMA3C/MAP1A/SLIT2/DOCK10/PLXNB3/ANKRD27,69
BP,GO:0048858,cell projection morphogenesis,69/2048,199/15876,0.34673366834170855,2.687863143844221,9.220924090049438,1.9640723276415255e-15,6.184022014459889e-13,5.239495201858747e-13,EPHB1/NTRK3/TRIO/SRCIN1/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/SLIT3/NCKAP1/DSCAML1/EPHA6/ULK2/APLP1/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/CHL1/SEMA6D/NYAP2/PACSIN1/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/SPTBN4/PLXNA4/EPHA5/ARHGAP35/TIAM1/SEMA4B/IGDCC4/GAS7/TMEM108/TANC2/NRP2/PAK1/DOCK7/SHTN1/NEDD4/PAK2/MYCBP2/SEMA3C/MAP1A/SLIT2/DOCK10/PLXNB3/ANKRD27,69
BP,GO:0098657,import into cell,90/2048,300/15876,0.3,2.3255859375,8.920366622386332,3.158897776633528e-15,8.70276337462537e-13,7.373532441773525e-13,SLC1A3/DENND1B/RHOQ/SLC9A7/ATP1A4/SLC27A1/LRP4/SNCG/PIKFYVE/SGIP1/SLC1A2/RAB29/SLC15A2/ITSN1/SCARB1/FER1L5/SH3GL2/BICD1/SYT17/SLC39A10/LRP8/CD47/PICALM/LDLRAD3/EPS15/SLC9A9/SCARB2/SLC8A1/SLC12A2/DNAJC6/DNM1/DNM3/DYSF/EPN2/WNK3/CACNA1C/SYT1/PIK3C3/MIB1/RHOBTB1/KCNJ3/HEATR5B/SNX18/SLC12A5/REPS2/RHOBTB2/PACSIN1/DNAJC13/CACNA1D/CACNG2/XKR6/CACNA1A/TFR2/EPS15L1/WNK2/KCNJ6/SLC8A3/CACNA1E/ARRB1/CACNG8/ADGRB1/SYNJ1/DENND1A/SIRPA/CACNG3/CLEC7A/FNBP1/MSR1/RHOJ/FLOT1/PACSIN2/NCF2/RUFY1/FCHO2/SLC12A6/EHD4/TREM2/RAMP1/DAB2/NEDD4/SNAP91/ATP1B1/NLGN1/PICK1/HIP1R/ATP1A1/DNM2/SLC9A2/SNX9/CSNK1E,90
BP,GO:0098609,cell-cell adhesion,94/2048,323/15876,0.29102167182662536,2.255986358359133,8.776497941227849,6.216480522648953e-15,1.5223470079909213e-12,1.2898288242314905e-12,CDH26/NTRK3/CTNND1/PLA2G5/ITGAV/CDH20/CNTN1/CDH11/CD47/PCDH15/CD200/ROBO1/ROBO2/MEGF11/CNTN2/DSCAML1/NECTIN1/ERBIN/TENM1/CDH9/SDK2/TENM3/ITGA4/PALLD/CNTN4/PKP4/PCDH17/CTNNA1/IGSF9B/CDON/CNTN6/TYRO3/MDGA2/CTNNA2/CNTN5/EFNA5/CDH7/CTNND2/ASTN1/CNTN3/LRFN5/TNFSF4/CTNNB1/PAG1/TENM2/JAM2/SDK1/CDH12/CHL1/PCDH10/ITGA11/CDH13/CDH2/EMB/DCC/FAT3/FSTL4/ASTN2/PKP2/DLG4/TENM4/SIRPA/LRRC4B/IGSF21/IGDCC4/PRTG/IGDCC3/CDH4/PCDH9/UBASH3B/CLSTN3/FLOT1/AKNA/SYK/ITGA6/DLG1/JAM3/DLG2/VSIR/DOCK8/SELPLG/ITGAM/LPP/ITGA8/DNER/NLGN1/JAG1/CDH19/CTNNA3/ITGA9/PLEKHA7/LRRC7/LOC102120633/LOC102136630,94
BP,GO:0048667,cell morphogenesis involved in neuron differentiation,63/2048,180/15876,0.35,2.7131835937499997,8.895857592276094,1.9887408709694432e-14,4.029172654211414e-12,3.4137703164442876e-12,EPHB1/NTRK3/TRIO/SRCIN1/PAK3/CNTN1/PLXNA2/LAMA3/SEMA6A/ENAH/ROBO1/CNTN2/SLIT3/DSCAML1/EPHA6/ULK2/APLP1/EFNB2/CNTN4/PLXNC1/SEMA3A/CNTN6/EPHA7/UNC5C/UNC5D/EPHA3/CNTN5/EFNA5/HECW2/CTNND2/KALRN/CNTN3/HECW1/EPHA4/CHL1/SEMA6D/RUFY3/SLIT1/BDNF/CDH2/EMB/DCC/SEMA5A/SPTBN4/PLXNA4/EPHA5/PDZD7/ARHGAP35/TIAM1/SEMA4B/IGDCC4/TANC2/NRP2/PAK1/DOCK7/NEDD4/PAK2/MYCBP2/SEMA3C/MAP1A/SLIT2/DOCK10/PLXNB3,63
