category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mcf04070,Phosphatidylinositol signaling system - Macaca fascicularis (crab-eating macaque),33/731,96/10949,0.34375,5.148726060191518,10.919898661480548,8.286138751605746e-16,2.6681366780170503e-13,1.5438384831939129e-13,102116640/102140615/101866377/101866399/102115744/101865168/102137291/102142026/101865720/102143380/101865360/102136293/102122144/102121085/101866246/101925220/101865406/102142941/102139378/102137188/102145009/101866163/102125417/102116992/102143464/101865389/101866529/101925728/102134197/102117404/102140151/102120568/102124544,33
Metabolism,Carbohydrate metabolism,mcf00562,Inositol phosphate metabolism - Macaca fascicularis (crab-eating macaque),24/731,72/10949,0.3333333333333333,4.992704058367533,9.091215214299922,1.579220078667771e-11,2.542544326655111e-9,1.471168178548397e-9,102116640/102140615/101866399/102142026/101865720/102143380/102116711/102136293/102122144/102121085/102141152/101925220/101865406/102142941/102139378/102137188/102145009/101866163/102125417/102143464/101925728/102134197/102117404/102124544,24
Organismal Systems,Endocrine system,mcf04921,Oxytocin signaling pathway - Macaca fascicularis (crab-eating macaque),34/731,159/10949,0.2138364779874214,3.202866754424455,7.4837488103417185,9.131240398421197e-10,9.800864694305418e-8,5.670980879019481e-8,102130815/102138724/102126681/101866070/102140615/102116137/101866377/102128414/102141214/102115744/101865168/102133054/101864805/102143695/102130114/102123532/101864901/102134477/101925220/102131750/101866264/102145250/102127724/102117465/101926678/102132307/102116992/101865389/102127531/102131761/102135088/102143606/102141554/102137250,34
Cellular Processes,Cellular community - eukaryotes,mcf04510,Focal adhesion - Macaca fascicularis (crab-eating macaque),39/731,204/10949,0.19117647058823528,2.863462621710791,7.185809396232218,1.68848717116401e-9,1.2897863415395483e-7,7.462967716655771e-8,102138724/101865181/102131974/101866329/102116249/102121272/102120952/107126428/102119572/102141214/101925550/102132043/102133054/101864805/102137291/102142026/102129227/102146984/102118497/101866246/101865406/102127552/102131342/102114959/102116296/102134285/102116992/102133064/102143464/101867161/102118598/102138249/101925271/101866132/102147194/102115437/102120728/102131093/102137533,39
Environmental Information Processing,Signal transduction,mcf04014,Ras signaling pathway - Macaca fascicularis (crab-eating macaque),43/731,240/10949,0.17916666666666667,2.683578431372549,7.053548364347967,2.002773822266379e-9,1.2897863415395483e-7,7.462967716655771e-8,102140348/102138724/101865297/102132454/101866329/102121272/102144714/101865745/102121794/101866377/107126428/101925083/102141084/102141214/102115733/101925341/102132043/101865168/102137291/102142026/102143695/102141609/102118497/101866246/102126294/102143086/102142941/102116296/101865530/102144774/102116992/102143464/101867161/101866132/102146604/102125141/102121723/102115437/102124166/102130619/102140481/102137242/102133900,43
Human Diseases,Substance dependence,mcf05032,Morphine addiction - Macaca fascicularis (crab-eating macaque),24/731,93/10949,0.25806451612903225,3.865319270994219,7.422030100286159,5.644244379288652e-9,2.9292113225231336e-7,1.694901615189914e-7,101925799/101866597/102137767/102146467/102131510/102147121/101925341/101926015/102141724/102130114/102123532/102121641/102131281/102122757/102120997/102133968/102132529/102132362/102127724/101925869/102116992/102130472/102131761/102141926,24
Cellular Processes,Cell motility,mcf04810,Regulation of actin cytoskeleton - Macaca fascicularis (crab-eating macaque),41/731,231/10949,0.1774891774891775,2.6584528102995955,6.813893884793256,6.367850701137247e-9,2.9292113225231336e-7,1.694901615189914e-7,102138724/102125658/101865181/102116640/101865297/102131974/101866329/102116249/102134164/102144714/102139495/101925661/102137950/102142497/102129759/102141214/101925550/102132043/101925068/102133054/101864805/102137291/102142026/102117220/102143380/101866246/101865406/102116862/102143086/102127552/102138998/102114959/101865530/102143464/101867161/101865352/102138249/101925271/101866132/101925728/102115437,41
Organismal Systems,Development and regeneration,mcf04360,Axon guidance - Macaca fascicularis (crab-eating macaque),35/731,181/10949,0.19337016574585636,2.896320033859619,6.880603482092521,8.575057825233554e-9,3.4514607746565054e-7,1.9970858356136042e-7,102126681/102128914/101866070/101866329/101866018/102136429/102117432/102129759/101925550/102116388/102133054/102134451/102137291/102142026/102139501/102122217/102141609/101866631/101866246/102134477/102115052/102123945/102135830/102138762/102145041/102119387/102143464/102114934/101866132/102115437/102136586/101866138/102124656/102125143/102137250,35
Environmental Information Processing,Signal transduction,mcf04010,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque),47/731,296/10949,0.15878378378378377,2.37828132510075,6.429702777010181,1.9912399539133256e-8,7.124214057334343e-7,4.122216044943376e-7,102130815/102138724/101865297/102140164/101866070/102116137/102121272/102144714/107126428/101865361/102141214/102115733/102132043/102143695/102133222/102141609/101925657/102118497/102125035/101925060/102134477/102126294/102131750/102145250/102143086/101925869/102116370/102116296/102129741/102145584/102117465/101926678/102116992/101867161/101866132/102137116/102129375/102146604/101925182/102138330/102115437/102115345/102135088/102137242/102143606/102119414/102137250,47
Organismal Systems,Nervous system,mcf04724,Glutamatergic synapse - Macaca fascicularis (crab-eating macaque),26/731,116/10949,0.22413793103448276,3.3571630737298928,6.8263316742100875,3.1815955304554614e-8,1.0244737608066587e-6,5.927814830427543e-7,102117873/101866847/101866070/102140615/101865995/101926081/102119891/102115744/101925341/102122335/102143695/102130114/102123532/101925540/102116971/102134477/101925220/102143809/101865770/102116992/101865389/102131761/102117589/102130684/102141926/102137250,26
