category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Cellular Processes,Cellular community - eukaryotes,mcf04510,Focal adhesion - Macaca fascicularis (crab-eating macaque),52/1097,204/10949,0.2549019607843137,2.544139989633045,7.428601312353667,1.3036985180317357e-10,4.3804270205866315e-8,2.3054879055719113e-08,102130928/102128018/102131342/102130741/102140241/101865181/102132631/102141214/102142026/102133054/102114969/102132043/101866246/102133756/101866436/102132675/102135875/102123512/102146984/102131974/102131393/102127262/102134285/102138313/102138724/101925550/102116992/102120608/101867161/101867036/102129690/101864805/101866132/102118497/102140851/102135329/102138168/102137533/102116249/102145776/102115437/102122725/102118376/102114959/102121021/102122692/102145011/102141221/102118276/101925934/101925271/102127552,52
Environmental Information Processing,Signal transduction,mcf04070,Phosphatidylinositol signaling system - Macaca fascicularis (crab-eating macaque),31/1097,96/10949,0.3229166666666667,3.222985034943786,7.29971258271832,1.6645459617884116e-9,1.5671267232861036e-7,8.248035385716333e-8,102142026/102130122/102131726/101866246/102124544/102135875/102136293/102139378/101865720/102116992/101867036/102117369/102134197/101925728/101925220/102115744/102130837/101925490/102133042/101865168/102117471/102122144/102117404/102125417/102122725/101866399/101865389/102116640/102124103/102121085/102140615,31
Organismal Systems,Endocrine system,mcf04919,Thyroid hormone signaling pathway - Macaca fascicularis (crab-eating macaque),36/1097,123/10949,0.2926829268292683,2.921226404606799,7.149992688578882,1.7318618151698015e-9,1.5671267232861036e-7,8.248035385716333e-8,102132718/102124503/102145890/101925525/102141214/102135220/102142026/101864989/102115223/102130545/101866246/102133756/102135875/102146984/102136323/101866092/102146743/102116992/101926461/101866995/101925220/102135329/101867359/102131731/101925134/102117471/102116249/102122144/102135998/102122725/102125039/102145011/101925407/102124255/101865456/102140615,36
Human Diseases,Cancer: overview,mcf05205,Proteoglycans in cancer - Macaca fascicularis (crab-eating macaque),50/1097,207/10949,0.24154589371980675,2.4108349957503776,6.837972172539912,2.2063532718439984e-9,1.5671267232861036e-7,8.248035385716333e-8,102130928/102128018/102140241/101865181/102132387/102141214/102142026/102133054/102145988/102115223/102114969/101866246/102141308/101866436/102135875/102123512/102146984/101926602/102136323/101866092/102138313/102138724/101925550/102116992/101926461/101925222/101864805/101866132/101865745/102140851/102115744/102135329/101865352/101926770/102145179/102117471/102116249/101925163/102144714/102135998/101866211/102122725/101866144/102121021/102145011/102118276/101925934/101865389/101865530/101867504,50
Metabolism,Carbohydrate metabolism,mcf00562,Inositol phosphate metabolism - Macaca fascicularis (crab-eating macaque),26/1097,72/10949,0.3611111111111111,3.6041983186468145,7.397657915729515,2.3320338144138445e-9,1.5671267232861036e-7,8.248035385716333e-8,102142026/102131726/102124544/102141152/102136293/102139378/101865720/101867036/102117369/102134197/101925728/101925220/102130837/101925490/102133042/102117471/102122144/102117404/102125417/102122725/101866399/102116640/102124103/102116711/102121085/102140615,26
Environmental Information Processing,Signal transduction,mcf04010,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque),63/1097,296/10949,0.21283783783783783,2.1243039986203156,6.543380174889919,4.389328790422806e-9,2.4580241226367713e-7,1.2936969066509325e-7,102128018/102140241/102141214/102130897/102134699/102140164/102133222/102134477/102141609/102132043/102141308/101865361/101865276/102139881/102138136/101866436/102137116/102125035/102135875/102123512/101925838/101925657/101925493/102115080/101926738/101925060/102115306/102138313/102138724/102136095/102116992/101926461/101867161/101865975/102115964/102130815/102143695/101867475/102135088/101866132/102118497/102118759/102116284/101926770/102117938/102131750/102145680/102144714/102115287/102135998/102115437/102124214/102139452/102123994/102145011/102118276/102115733/102137242/101925934/102134273/102136845/101865075/102143086,63
Environmental Information Processing,Signal transduction,mcf04068,FoxO signaling pathway - Macaca fascicularis (crab-eating macaque),36/1097,130/10949,0.27692307692307694,2.7639295982048946,6.75099629974708,8.921568967130806e-9,4.282353104222787e-7,2.253870054854098e-7,102128018/102141214/101866184/102142026/102146075/102115311/101866246/101865361/101864918/101866436/102144683/102117763/102115080/102136323/102146086/101925870/102138313/102138724/101867036/102115964/101925779/102118497/102140141/102135329/101926770/102131731/102131018/102143679/102115287/102122725/101866427/102145011/102118276/102115733/102134273/102134009,36
Cellular Processes,Transport and catabolism,mcf04144,Endocytosis - Macaca fascicularis (crab-eating macaque),56/1097,257/10949,0.2178988326848249,2.174817063870691,6.359395556619285,1.346463084830456e-8,5.655144956287915e-7,2.9763920822567975e-7,102136250/101926561/102127199/101865219/101865249/101866900/101926553/102143982/102115557/102114934/102120139/102144117/102117004/102133098/102123469/102129885/101866800/101926562/102134393/101926489/102136323/102138019/102146086/102135212/102138724/102116881/102123206/102115007/102125500/101925814/101866335/101867265/102117130/102117972/102117163/102131403/102127970/101925111/102142022/101925163/102115287/102127149/101866546/102137049/102130600/101925934/101867463/102140196/102134273/101925768/102118932/102116877/102143086/102115718/101866060/101864875,56
Environmental Information Processing,Signal transduction,mcf04014,Ras signaling pathway - Macaca fascicularis (crab-eating macaque),53/1097,240/10949,0.22083333333333333,2.204105894864783,6.2936755526032915,2.0510774981042114e-8,7.65735599292239e-7,4.030187364695994e-7,102128018/102140241/102141084/102141214/102130897/102130619/102142026/102140481/102140348/102141609/102144117/102132043/101866246/102135875/102123512/102125141/102115306/102138313/102138724/102136095/102118522/102116992/101926461/101867161/102115803/102115964/102143695/101867475/102118538/101866132/102118497/101865745/102125173/102131296/102127304/101865168/102117471/102144714/102115437/102124214/102122725/101925341/102121794/102123994/102145011/102144774/102118276/102115733/102137242/101925934/101865530/102143086/102124166,53
Cellular Processes,Cellular community - eukaryotes,mcf04520,Adherens junction - Macaca fascicularis (crab-eating macaque),29/1097,95/10949,0.30526315789473685,3.046787890418846,6.685720849760204,2.331797865206529e-8,7.834840827093938e-7,4.1236004353125977e-7,102133054/102114934/101865361/102134244/102115986/102123512/102116970/102146984/102123469/101866800/102146086/102143808/102138724/102122323/102126078/102116470/102125825/102140851/102115983/101865216/102131731/102144714/102115287/102134170/102145011/101925934/102134273/102127552/102124166,29
