category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mcf04010,MAPK signaling pathway - Macaca fascicularis (crab-eating macaque),59/882,296/10949,0.19932432432432431,2.474378715450144,7.61150605686807,4.2354632417089144e-11,1.435822038939322e-8,8.158839718239277e-9,102138724/102116823/102138091/102115998/102116284/102115345/102146317/102144714/102141308/102145011/102133222/101925869/102133022/102134477/101865065/102143296/102137250/102145680/101925493/101926664/102139509/102141631/102130897/102121272/102118744/101926770/102134273/102118759/101865276/102141214/102118276/102128947/102146108/102136095/102132744/101867475/101866070/102143695/102143086/102132043/102131483/101867258/102135088/102144586/102115287/102117465/101925657/102131294/102119841/102115080/102139881/102119414/101926461/101866593/102140241/102124885/101865361/102138136/102125035,59
Environmental Information Processing,Signal transduction,mcf04015,Rap1 signaling pathway - Macaca fascicularis (crab-eating macaque),43/882,221/10949,0.19457013574660634,2.4153610162013526,6.2915207973778555,4.0855167496032004e-8,6.924950890577425e-6,3.934997711459925e-6,102138724/102116823/102137533/102138792/102130245/102144714/102127304/101866246/102127679/102145011/102140615/102140481/102133022/101865065/102145680/102114934/102146984/102119905/102139509/102141631/102118744/101926770/102140172/102143429/102139229/102141214/102118376/102128947/102146108/102136095/101925108/102132744/102143086/102132043/102131483/102144586/102133830/101926144/102121408/102120135/101925124/101866593/102140241,43
Cellular Processes,Cellular community - eukaryotes,mcf04520,Adherens junction - Macaca fascicularis (crab-eating macaque),25/882,95/10949,0.2631578947368421,3.266797947249075,6.567972977978264,7.591228652210995e-8,8.578088376998424e-6,4.874367871419692e-6,102138724/101925068/101866743/102143808/102144714/102125329/102145011/101866800/102133022/102116470/102114934/102137456/102146984/102134273/102126087/102126878/102131834/102144586/102115287/102134244/102127552/102146086/102115983/101866593/101865361,25
Human Diseases,Drug resistance: antineoplastic,mcf01521,EGFR tyrosine kinase inhibitor resistance - Macaca fascicularis (crab-eating macaque),22/882,80/10949,0.275,3.413803854875284,6.413628910927552,1.972670471906539e-7,1.6716224669081615e-5,9.498739681546143e-6,102138724/102115998/101925779/101866246/101867036/102145011/102133756/101865745/102140222/102118744/102141214/102118276/102117471/102128947/102132744/101867475/102143086/102132043/102131483/102145460/102123983/102140241,22
Environmental Information Processing,Signal transduction,mcf04071,Sphingolipid signaling pathway - Macaca fascicularis (crab-eating macaque),28/882,121/10949,0.23140495867768596,2.872622327167782,6.130846058075095,2.4655198626964034e-7,1.6716224669081615e-5,9.498739681546143e-6,102125635/101865477/101866246/102144364/101867036/102145011/102140615/101925723/101926756/101926197/102119905/102121272/102118744/101926770/101865955/102127819/102122205/102141214/102126878/102142696/102132744/102131483/102116114/101867258/101926144/102121794/101925657/101866593,28
Environmental Information Processing,Signal transduction,mcf04152,AMPK signaling pathway - Macaca fascicularis (crab-eating macaque),28/882,122/10949,0.22950819672131148,2.8490762425188656,6.079002447890335,2.9592358996125186e-7,1.671968283281073e-5,9.500704730334929e-6,102128414/102141498/101865477/102145637/101925779/101926577/102124036/101866264/102125946/101866246/102144364/102116460/102115046/101925723/102140628/101926197/101865955/101926813/102142696/102146405/102120453/102132744/101925992/101865279/101867149/102125557/102136437/102123475,28
Cellular Processes,Cell growth and death,mcf04218,Cellular senescence - Macaca fascicularis (crab-eating macaque),34/882,168/10949,0.20238095238095238,2.5123231832415507,5.846842299208731,4.1133023902581935e-7,1.8411984057303296e-5,1.0462329087056367e-5,102116823/101925779/102136323/102147003/102127304/102115744/101866246/102121039/102133300/101867036/102145011/102140628/102134477/102140874/102143296/102137250/102118744/101926770/102132718/102134273/102143724/102141214/102145807/102114767/102132744/101866070/102131483/102115287/102145859/102143687/102147200/102146086/102115080/102121788,34
Human Diseases,Cancer: specific types,mcf05220,Chronic myeloid leukemia - Macaca fascicularis (crab-eating macaque),21/882,77/10949,0.2727272727272727,3.385590599876314,6.217820897777639,4.3450109869742294e-7,1.8411984057303296e-5,1.0462329087056367e-5,101867458/102136323/101866246/102117103/102145011/101865065/102140874/102140222/102118744/102134273/102141214/102115803/102118276/102132744/102131483/102115287/102121365/102145859/102121794/102146086/102115080,21
Cellular Processes,Transport and catabolism,mcf04144,Endocytosis - Macaca fascicularis (crab-eating macaque),45/882,257/10949,0.17509727626459143,2.1736282061462715,5.635329023000046,4.905496754079806e-7,1.8477371107033934e-5,1.0499484280662042e-5,102138724/102135212/102123591/101867463/102146996/102117130/102134393/101925511/102143982/102136323/102127149/102129885/101866643/102141791/101925869/101866800/102123206/102132362/102114934/102147319/102144117/102120139/102125500/102118744/102134273/102117163/101926228/102126087/102115557/102128947/102142022/102140196/102117004/102138019/102143086/102118309/102115287/101866546/101925814/102131294/102141926/102146086/102125804/102123195/102117972,45
Organismal Systems,Environmental adaptation,mcf04710,Circadian rhythm - Macaca fascicularis (crab-eating macaque),13/882,33/10949,0.3939393939393939,4.890297533154675,6.624600253222934,6.894815658317837e-7,2.3373425081697467e-5,1.3281592268128044e-5,102128414/101926774/102145834/101925711/102142259/102117999/101925629/102121584/102130020/101867010/101865279/102143687/102144252,13
