ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p_adjust,qvalue,geneID,Count
BP,GO:0030036,actin cytoskeleton organization,26/289,371/15876,0.07008086253369272,3.849840047006594,7.563034390573785,4.467589936996903e-9,5.843607637591949e-6,5.417540639389929e-6,BRK1/GMFB/CDC42BPB/FLNA/ACTN3/RHOA/ADD1/FLII/CAPZB/FHOD1/CNN2/ACTN1/ARPC2/MYO18A/PPP1R9B/ARHGEF2/GSN/HAX1/PDLIM5/CAPZA1/TPM3/SPTAN1/TMOD3/CTTN/IQGAP2/WASHC5,26
BP,GO:0030029,actin filament-based process,26/289,384/15876,0.06770833333333333,3.719506920415225,7.345587848709804,9.12969953376096e-9,5.9708234950796675e-6,5.535480980469803e-6,BRK1/GMFB/CDC42BPB/FLNA/ACTN3/RHOA/ADD1/FLII/CAPZB/FHOD1/CNN2/ACTN1/ARPC2/MYO18A/PPP1R9B/ARHGEF2/GSN/HAX1/PDLIM5/CAPZA1/TPM3/SPTAN1/TMOD3/CTTN/IQGAP2/WASHC5,26
BP,GO:0006886,intracellular protein transport,23/289,336/15876,0.06845238095238096,3.76038062283737,6.963661020597923,5.567772106232019e-8,2.4275486383171603e-5,2.2505520934664162e-5,VPS8/VTI1A/AP1B1/AP1S1/TBC1D13/VPS26A/VCP/AP4M1/IPO4/KPNA4/RPH3A/SEC23B/AP3D1/AP3S1/SNX27/BCAP31/NUP93/TMEM50A/RABL3/SNAPIN/VPS13C/VPS33A/SEC31A,23
BP,GO:0007034,vacuolar transport,12/289,90/15876,0.13333333333333333,7.324567474048443,8.192954752554433,8.152196374368986e-8,2.6657682144186585e-5,2.471402690335019e-5,VPS8/VTI1A/VTA1/AP4M1/AP3D1/AP3S1/LEPROT/RAB38/TMEM50A/SNAPIN/PLEKHF2/VPS13C,12
BP,GO:0015031,protein transport,27/289,470/15876,0.0574468085106383,3.155797688286829,6.460059302008798,1.4193401360612698e-7,3.7129937959362824e-5,3.442273340510701e-5,VPS8/VTI1A/AP1B1/AP1S1/TBC1D13/VPS26A/VCP/AP4M1/IPO4/KPNA4/DENND10/SCAMP1/RPH3A/SEC23B/AP3D1/AP3S1/SNX27/BCAP31/NUP93/MIA3/TMEM50A/RABL3/SNAPIN/VPS13C/VPS33A/SEC31A/TIMM21,27
BP,GO:0007015,actin filament organization,18/289,251/15876,0.07171314741035857,3.9395084023766533,6.391842635916175,8.239566057381527e-7,1.7962254005091728e-4,1.6652596663339507e-4,BRK1/GMFB/RHOA/ADD1/FLII/CAPZB/CNN2/ARPC2/PPP1R9B/ARHGEF2/GSN/HAX1/CAPZA1/TPM3/TMOD3/CTTN/IQGAP2/WASHC5,18
BP,GO:0008154,actin polymerization or depolymerization,11/289,103/15876,0.10679611650485436,5.866765209796082,6.7472433845172475,2.7184992064001754e-6,4.347681173084278e-4,4.0306846220771673e-4,BRK1/ADD1/FLII/CAPZB/ARPC2/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,11
BP,GO:0051258,protein polymerization,12/289,125/15876,0.096,5.273688581314879,6.53173165009133,2.977094291267338e-6,4.347681173084278e-4,4.0306846220771673e-4,FGA/ADD1/FLII/CAPZB/ARPC2/GSN/HAX1/CAPZA1/TUBGCP3/TMOD3/CTTN/WASHC5,12
BP,GO:0110053,regulation of actin filament organization,11/289,104/15876,0.10576923076923077,5.810354005855736,6.701543554048716,2.9915237429478976e-6,4.347681173084278e-4,4.0306846220771673e-4,BRK1/GMFB/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,11
BP,GO:0030041,actin filament polymerization,10/289,92/15876,0.10869565217391304,5.971114788626448,6.511239795518356,6.615196777009618e-6,8.652677384328581e-4,8.021796512752716e-4,ADD1/FLII/CAPZB/ARPC2/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,10
BP,GO:0051693,actin filament capping,6/289,27/15876,0.2222222222222222,12.207612456747405,7.936309120000834,7.411111569233797e-6,8.678575860595175e-4,8.045806688721747e-4,ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,6
BP,GO:0048193,Golgi vesicle transport,14/289,188/15876,0.07446808510638298,4.09084885518663,5.804935829674181,9.07673782652258e-6,8.678575860595175e-4,8.045806688721747e-4,COPE/VTI1A/TRAPPC10/KDELR1/AP4M1/SEC23B/AP3D1/AP3S1/BCAP31/BNIP1/MIA3/ERGIC3/USE1/SEC31A,14
BP,GO:0030834,regulation of actin filament depolymerization,6/289,28/15876,0.21428571428571427,11.771626297577855,7.767791913064794,9.288995569444377e-6,8.678575860595175e-4,8.045806688721747e-4,ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,6
BP,GO:0030835,negative regulation of actin filament depolymerization,6/289,28/15876,0.21428571428571427,11.771626297577855,7.767791913064794,9.288995569444377e-6,8.678575860595175e-4,8.045806688721747e-4,ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,6
BP,GO:0008064,regulation of actin polymerization or depolymerization,9/289,77/15876,0.11688311688311688,6.420887071406102,6.492701604984466,1.0580609409965627e-5,9.226291405490027e-4,8.553587396688002e-4,BRK1/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN,9
BP,GO:0030832,regulation of actin filament length,9/289,79/15876,0.11392405063291139,6.25833296833253,6.379679190594015,1.3076642321479696e-5,0.001069015509780965,9.91071839101619e-4,BRK1/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN,9
BP,GO:0016197,endosomal transport,12/289,146/15876,0.0821917808219178,4.515144333317533,5.810048386963179,1.4821676394778469e-5,0.0011403972190806022,0.0010572489911321857,VTI1A/TRAPPC10/VPS26A/VTA1/DENND10/AP3D1/SNX27/LEPROT/SLC66A2/TMEM50A/VPS50/RAB11FIP3,12
BP,GO:0051261,protein depolymerization,8/289,62/15876,0.12903225806451613,7.088291103917848,6.540258406158184,1.577848539116109e-5,0.0011465699384243726,0.0010629716474045365,DNAJC6/ADD1/FLII/CAPZB/GAK/GSN/CAPZA1/TMOD3,8
BP,GO:1902903,regulation of supramolecular fiber organization,11/289,125/15876,0.088,4.834214532871973,5.860057405000422,1.7745616757399127e-5,0.0012216456167725293,0.001132573435153673,BRK1/GMFB/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,11
BP,GO:0032956,regulation of actin cytoskeleton organization,11/289,127/15876,0.08661417322834646,4.758085170149579,5.789839275735441,2.0614058332479925e-5,0.0013481594149441873,0.0012498629052114145,BRK1/GMFB/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,11
BP,GO:0032984,protein-containing complex disassembly,10/289,106/15876,0.09433962264150944,5.182476986355031,5.882950126403599,2.3364869597766773e-5,0.0014222366558380433,0.0013185390532153758,VCP/DNAJC6/ADD1/FLII/CAPZB/EPG5/GAK/GSN/CAPZA1/TMOD3,10
BP,GO:0051016,barbed-end actin filament capping,5/289,20/15876,0.25,13.73356401384083,7.758766390291859,2.3921411642535898e-5,0.0014222366558380433,0.0013185390532153758,ADD1/FLII/CAPZB/GSN/CAPZA1,5
BP,GO:0032970,regulation of actin filament-based process,11/289,130/15876,0.08461538461538462,4.6482832046845894,5.687214613145501,2.566714767073972e-5,0.0014596795284055458,0.0013532519046541036,BRK1/GMFB/ADD1/FLII/CAPZB/GSN/HAX1/CAPZA1/TMOD3/CTTN/WASHC5,11
BP,GO:1902904,negative regulation of supramolecular fiber organization,7/289,49/15876,0.14285714285714285,7.8477508650519034,6.536890512313976,2.749356910637202e-5,0.001498399516297275,0.0013891487548482705,GMFB/ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,7
BP,GO:0030837,negative regulation of actin filament polymerization,6/289,34/15876,0.17647058823529413,9.694280480358234,6.910231887083646,3.025241085355133e-5,0.0014989563286352619,0.001389664969087254,ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,6
BP,GO:0032272,negative regulation of protein polymerization,6/289,34/15876,0.17647058823529413,9.694280480358234,6.910231887083646,3.025241085355133e-5,0.0014989563286352619,0.001389664969087254,ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,6
BP,GO:0010639,negative regulation of organelle organization,9/289,88/15876,0.10227272727272728,5.6182761874803395,5.915373881124607,3.1472211349417364e-5,0.0014989563286352619,0.001389664969087254,GMFB/MTM1/TRIP13/ADD1/FLII/CAPZB/GSN/CAPZA1/TMOD3,9
