Class,Algorithm,Parameter,ARI,Num_Clusters
Graph_based,fast_greedy,sim.cutoff=0.2,0.039658575577407366,4
Graph_based,louvain,sim.cutoff=0.2,0.06488535799679436,4
Graph_based,walktrap,sim.cutoff=0.2,0.022614860828866316,2
Graph_based,infomap,sim.cutoff=0.2,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.2,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.2,0.02910123527949632,2
Graph_based,leiden,sim.cutoff=0.2,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.2,NA,NA
Graph_based,spinglass,sim.cutoff=0.2,0.06513376353869574,4
Graph_based,fluid_community,sim.cutoff=0.2,0.027751369132950798,3
Graph_based,fast_greedy,sim.cutoff=0.21,0.03711746648628243,4
Graph_based,louvain,sim.cutoff=0.21,0.06243773125315988,4
Graph_based,walktrap,sim.cutoff=0.21,0.028190233297236012,2
Graph_based,infomap,sim.cutoff=0.21,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.21,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.21,0.029768793183213575,2
Graph_based,leiden,sim.cutoff=0.21,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.21,NA,NA
Graph_based,spinglass,sim.cutoff=0.21,0.06529040737016847,4
Graph_based,fluid_community,sim.cutoff=0.21,0.027245601843172346,3
Graph_based,fast_greedy,sim.cutoff=0.22,0.034952209900856464,3
Graph_based,louvain,sim.cutoff=0.22,0.06788292251933455,4
Graph_based,walktrap,sim.cutoff=0.22,0.02148891618281014,2
Graph_based,infomap,sim.cutoff=0.22,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.22,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.22,0.0291833895158071,2
Graph_based,leiden,sim.cutoff=0.22,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.22,NA,NA
Graph_based,spinglass,sim.cutoff=0.22,0.06671260133811269,5
Graph_based,fluid_community,sim.cutoff=0.22,0.04103545589519155,4
Graph_based,fast_greedy,sim.cutoff=0.23,0.03542380669025456,3
Graph_based,louvain,sim.cutoff=0.23,0.09137920755080675,5
Graph_based,walktrap,sim.cutoff=0.23,0.025506866085902233,2
Graph_based,infomap,sim.cutoff=0.23,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.23,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.23,0.028572840145259758,2
Graph_based,leiden,sim.cutoff=0.23,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.23,NA,NA
Graph_based,spinglass,sim.cutoff=0.23,0.06732822336602322,4
Graph_based,fluid_community,sim.cutoff=0.23,0.027150643958840565,3
Graph_based,fast_greedy,sim.cutoff=0.24,0.03129696251130147,3
Graph_based,louvain,sim.cutoff=0.24,0.08852470482145332,5
Graph_based,walktrap,sim.cutoff=0.24,0.02826738554927658,2
Graph_based,infomap,sim.cutoff=0.24,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.24,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.24,0.028593103730593997,2
Graph_based,leiden,sim.cutoff=0.24,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.24,NA,NA
Graph_based,spinglass,sim.cutoff=0.24,0.06647236028318926,4
Graph_based,fluid_community,sim.cutoff=0.24,0.03089757419956252,3
Graph_based,fast_greedy,sim.cutoff=0.25,0.028593103730593997,2
Graph_based,louvain,sim.cutoff=0.25,0.08972576034120146,5
Graph_based,walktrap,sim.cutoff=0.25,0.027996890872627446,2
Graph_based,infomap,sim.cutoff=0.25,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.25,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.25,0.02890127465116965,2
Graph_based,leiden,sim.cutoff=0.25,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.25,NA,NA
Graph_based,spinglass,sim.cutoff=0.25,0.06871168016428071,5
Graph_based,fluid_community,sim.cutoff=0.25,0.02951003562287338,3
Graph_based,fast_greedy,sim.cutoff=0.26,0.04061802369361438,3
Graph_based,louvain,sim.cutoff=0.26,0.09099614289267349,5
Graph_based,walktrap,sim.cutoff=0.26,0.027493338448464213,2
Graph_based,infomap,sim.cutoff=0.26,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.26,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.26,0.028875833052535306,2
Graph_based,leiden,sim.cutoff=0.26,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.26,NA,NA
Graph_based,spinglass,sim.cutoff=0.26,0.06652316328829659,4
Graph_based,fluid_community,sim.cutoff=0.26,0.031776166694933126,3
Graph_based,fast_greedy,sim.cutoff=0.27,0.04148517525383883,3
Graph_based,louvain,sim.cutoff=0.27,0.06727266597929345,4
Graph_based,walktrap,sim.cutoff=0.27,0.03053160229527512,3
Graph_based,infomap,sim.cutoff=0.27,7.059178088590345e-17,1
Graph_based,label_prop,sim.cutoff=0.27,7.059178088590345e-17,1
Graph_based,leading_eigen,sim.cutoff=0.27,0.04454963015644563,3
Graph_based,leiden,sim.cutoff=0.27,NA,NA
Graph_based,edge_betweenness,sim.cutoff=0.27,NA,NA
Graph_based,spinglass,sim.cutoff=0.27,0.06713230224261883,5
Graph_based,fluid_community,sim.cutoff=0.27,0.0332383620199791,3
Graph_based,fast_greedy,sim.cutoff=0.28,0.04332882568448996,3
Graph_based,louvain,sim.cutoff=0.28,0.06588440837424617,4
Graph_based,walktrap,sim.cutoff=0.28,0.03389900949326899,3
