Class,Algorithm,Parameter,ARI,Num_Clusters
Distance_based,kmeans,centers=77,0.5656266979689193,77
Distance_based,hclust_ward.D,k=49,0.49398275660406676,49
Distance_based,gmm,G=66,0.4840510136209838,66
Distance_based,hclust_ward.D2,k=89,0.4334064332542378,89
Distance_based,binary_cut,cutoff=0.59,0.3950183660177253,189
Distance_based,affinity_propagation,p=0.51,0.3947837419265374,79
Distance_based,hclust_complete,k=109,0.3841051100836002,109
Distance_based,mean_shift,bandwidth=0.45,0.3723836044222862,159
Graph_based,label_prop,sim.cutoff=0.71,0.3489200650619033,173
Graph_based,walktrap,sim.cutoff=0.71,0.3485463234091589,173
Graph_based,infomap,sim.cutoff=0.67,0.342173485583494,127
Distance_based,hclust_mcquitty,k=117,0.33728229892608935,117
Distance_based,hclust_average,k=124,0.32775350786020524,124
Graph_based,edge_betweenness,sim.cutoff=0.73,0.3057976366031281,182
Graph_based,louvain,sim.cutoff=0.73,0.295407200909297,181
Graph_based,leading_eigen,sim.cutoff=0.69,0.2845581471721898,148
Graph_based,fast_greedy,sim.cutoff=0.75,0.27519047044603384,199
Distance_based,hclust_median,k=138,0.12489728356231922,138
Graph_based,fluid_community,sim.cutoff=0.39,0.12066607662549593,8
Graph_based,spinglass,sim.cutoff=0.4,0.1150466622239754,8
Distance_based,hdbscan,minPts=2,0.08168455415379608,165
Distance_based,hclust_centroid,k=142,0.056297376457942326,142
Distance_based,hclust_single,k=150,0.05452611088799916,150
