ID,ground_truth_label,mapa_label,paver_label,apear_cluster,enrichplot_cluster
GO:0000027,22,1,1,1,16
GO:0000028,22,1,1,2,1
GO:0002227,31,2,6,18,11
GO:0061760,31,2,6,241,9
GO:0140367,31,2,6,272,5
GO:0140374,31,2,6,273,16
GO:0002323,31,3,5,20,12
GO:0002501,47,4,1,22,3
GO:0051131,47,4,1,220,5
GO:0051382,47,4,1,223,5
GO:0002719,1,5,7,23,11
GO:0007224,9,5,5,55,6
GO:0007249,53,5,6,57,9
GO:0019827,25,5,4,79,16
GO:0030279,44,5,7,85,15
GO:0030857,34,5,7,88,2
GO:0032480,1,5,7,102,5
GO:0032682,1,5,7,103,15
GO:0032689,1,5,7,104,5
GO:0032703,1,5,7,105,12
GO:0032715,1,5,7,106,15
GO:0033144,56,5,7,116,13
GO:0034104,44,5,7,119,14
GO:0034122,19,5,7,121,11
GO:0035329,27,5,5,129,15
GO:0035331,56,5,5,130,10
GO:0038061,53,5,6,138,9
GO:0043124,56,5,7,155,16
GO:0045599,34,5,4,172,9
GO:0045662,34,5,7,175,13
GO:0045665,34,5,7,177,15
GO:0045668,34,5,7,179,11
GO:0045744,19,5,7,182,13
GO:0045746,19,5,7,184,17
GO:0045879,19,5,7,187,8
GO:0046621,44,5,4,197,9
GO:0046627,19,5,5,198,17
GO:0050805,40,5,6,217,13
GO:0051898,56,5,7,226,14
GO:0060392,56,5,7,235,16
GO:0060395,53,5,5,236,1
GO:0061037,44,5,4,100,3
GO:0120163,44,5,5,271,6
GO:0141162,56,5,7,274,16
GO:1900016,1,5,7,277,9
GO:1900102,56,5,7,279,15
GO:1901223,56,5,7,282,17
GO:1902455,44,5,4,287,6
GO:1903523,44,5,5,288,1
GO:0002931,7,6,8,24,2
GO:0009409,7,6,8,68,10
GO:0033198,55,6,8,117,17
GO:0033280,55,6,8,118,5
GO:0034605,26,6,8,124,16
GO:0034698,16,6,8,125,15
GO:0035094,28,6,8,126,9
GO:0035458,50,6,5,131,13
GO:0035902,7,6,8,134,16
GO:0042220,55,6,8,147,4
GO:0043627,16,6,8,162,7
GO:0044321,16,6,5,165,9
GO:0045472,55,6,8,170,11
GO:0046677,28,6,8,200,2
GO:0046685,28,6,8,201,1
GO:0051209,20,6,8,222,3
GO:0071276,49,6,8,39,12
GO:0071277,49,6,8,247,14
GO:0071280,49,6,8,39,4
GO:0071294,49,6,8,39,7
GO:0071346,50,6,5,248,11
GO:0071353,50,6,5,249,15
GO:0071354,50,6,5,250,2
GO:0071456,26,6,8,251,14
GO:0071731,55,6,8,253,12
GO:0097066,16,6,8,261,1
GO:0097398,50,6,5,263,12
GO:0097501,7,6,8,39,7
GO:1902074,28,6,8,286,16
GO:0003407,54,7,3,25,12
GO:0021766,54,7,3,81,8
GO:0021772,54,7,3,82,11
GO:0021854,54,7,3,83,16
GO:0042461,39,7,3,149,2
