ID,ground_truth_label,mapa_default_label,mapa_optimized_label,paver_default_label,paver_optimized_label,apear_default_cluster,apear_optimized_cluster,enrichplot_default_cluster,enrichplot_optimized_cluster
GO:0006506,37,14,1,2,19,34,32,6,29
GO:0006654,37,14,1,2,19,35,33,2,28
GO:0006656,37,14,1,2,19,36,34,11,30
GO:0006661,37,14,1,2,19,37,35,16,22
GO:0007200,11,14,2,6,24,49,46,6,38
GO:0008286,10,14,2,6,26,62,56,8,47
GO:0031663,9,42,2,6,43,95,86,10,11
GO:0043491,53,14,2,6,26,158,56,16,35
GO:0048015,27,14,2,2,19,206,175,17,27
GO:0031664,17,42,3,6,43,96,87,9,42
GO:0043555,26,27,3,8,15,160,136,6,64
GO:0007030,8,23,4,1,9,43,41,14,4
GO:0007031,8,16,4,1,9,44,42,3,36
GO:0031579,46,23,4,1,9,94,85,15,58
GO:0034389,8,23,4,1,9,123,106,2,49
GO:0002323,31,3,5,5,13,20,19,12,17
GO:0001649,24,34,6,3,6,8,7,6,6
GO:0002062,24,34,6,3,6,17,16,11,15
GO:0002244,24,34,6,3,5,19,18,11,16
GO:0035987,24,34,6,3,6,135,116,5,2
GO:0045444,24,34,6,3,41,168,142,12,65
GO:0045445,24,34,6,3,6,169,143,16,52
GO:0050931,24,34,6,3,6,219,184,9,58
GO:0003407,54,7,7,3,16,25,24,12,22
GO:0021772,54,7,7,3,4,82,75,11,13
GO:0019827,25,5,8,4,37,79,72,16,53
GO:0045494,25,7,8,3,16,171,145,16,70
GO:0090398,26,36,8,4,37,260,213,2,59
GO:0006308,4,23,9,2,18,32,30,13,24
GO:0030574,14,23,9,4,40,87,79,10,50
GO:0042178,14,23,9,2,17,145,70,15,36
GO:0030279,44,5,10,7,38,85,77,15,44
GO:0030857,34,5,10,7,38,88,80,2,56
GO:0045599,34,5,10,4,34,172,146,9,71
GO:0045662,34,5,10,7,38,175,149,13,37
GO:0045665,34,5,10,7,38,177,151,15,58
GO:0045668,34,5,10,7,38,179,77,11,27
GO:1902455,44,5,10,4,37,287,233,6,21
GO:0006270,4,9,11,2,18,27,26,13,23
GO:0006304,4,11,11,2,18,31,27,1,27
GO:0022616,4,23,11,2,18,84,76,1,55
GO:0010640,17,14,12,5,32,70,64,14,49
GO:0030947,17,14,12,5,32,89,81,12,55
GO:0040036,17,14,12,5,32,143,123,1,13
GO:0043567,17,14,12,5,44,161,137,11,66
GO:1900746,17,14,12,5,32,281,81,16,46
GO:2001044,17,14,12,6,26,298,239,14,11
GO:0006984,27,14,13,6,22,42,40,12,35
GO:0030968,27,23,13,6,22,90,40,7,35
GO:0006081,13,8,14,2,17,26,25,9,7
GO:0019748,13,23,14,2,17,77,70,16,52
GO:0042430,13,26,14,2,17,148,60,3,8
GO:0050435,13,23,14,6,55,216,182,6,69
GO:0015701,6,23,15,1,36,74,68,1,6
GO:0019755,6,23,15,1,36,78,71,5,17
GO:0042908,6,23,15,1,36,152,129,14,14
GO:0051180,6,23,15,1,36,221,186,16,4
GO:0072348,6,23,15,1,36,255,186,13,4
GO:0006879,23,15,16,8,20,38,36,10,31
GO:0006882,23,15,16,8,20,39,37,12,32
GO:0006883,23,15,16,8,20,40,38,6,33
GO:0030007,23,15,16,8,20,40,38,4,33
GO:0006896,20,23,17,1,21,41,39,4,34
GO:0008333,20,23,17,1,21,63,57,2,23
GO:0042147,20,23,17,1,21,144,124,11,50
GO:0045056,25,23,17,1,21,167,141,6,69
GO:0048489,6,23,17,1,21,211,39,6,46
GO:0070633,6,23,17,1,21,246,205,1,40
GO:1902774,20,23,17,1,21,243,57,3,73
GO:0000027,22,1,18,1,1,1,1,16,44
GO:0000028,22,1,18,1,1,2,2,1,1
GO:0000388,22,12,18,2,2,3,3,2,2
GO:0006376,22,13,18,2,2,33,31,1,28
GO:0031929,27,14,19,6,26,97,88,14,49
GO:0035329,27,5,19,5,50,129,111,15,65
GO:0007156,52,17,20,1,23,45,43,8,37
GO:0007157,52,17,20,1,23,46,44,16,38
GO:0007158,52,17,20,1,23,47,13,6,37
GO:0016338,52,17,20,1,23,75,69,12,51
GO:0016339,52,17,20,1,23,76,43,2,37
GO:0034113,52,17,20,1,23,120,51,9,14
GO:0044331,52,17,20,1,23,76,43,2,37
GO:0031424,25,22,21,4,10,93,84,17,30
GO:0042461,39,7,21,3,16,149,24,2,1
GO:0060119,39,7,21,3,4,232,195,5,18
GO:0007204,48,42,22,8,25,50,46,5,4
GO:0031340,41,42,22,5,42,92,83,10,29
GO:0032892,41,42,22,5,42,115,100,7,31
GO:0051590,41,42,22,5,42,224,100,1,31
GO:0051954,41,42,22,5,42,115,100,14,31
GO:2000463,18,41,22,5,42,295,13,5,6
GO:0002501,47,4,23,1,1,22,21,3,19
GO:0051131,47,4,23,1,1,220,185,5,5
GO:0001708,32,34,24,3,8,11,10,2,9
GO:0001709,32,34,24,3,8,12,11,9,10
GO:0002360,32,34,24,3,8,21,20,3,18
GO:0002227,31,2,25,6,12,18,17,11,2
GO:0061760,31,2,25,6,12,241,202,9,51
GO:0140367,31,2,25,6,12,272,223,5,17
GO:0140374,31,2,25,6,12,273,224,16,7
GO:0002719,1,5,26,7,14,23,22,11,20
GO:0032480,1,5,26,7,48,102,93,5,9
GO:0032689,1,5,26,7,48,104,95,5,56
GO:0032703,1,5,26,7,14,105,95,12,10
GO:0032715,1,5,26,7,14,106,94,15,59
GO:1900016,1,5,26,7,14,277,226,9,49
GO:0008360,48,14,27,4,30,64,58,17,42
GO:0040014,42,14,27,4,30,141,121,12,20
GO:0042634,42,14,27,4,10,151,128,5,53
GO:0060688,42,14,27,4,30,239,201,10,38
GO:0061036,43,42,27,4,40,100,196,3,12
GO:0061037,44,5,27,4,40,100,91,3,60
GO:0006284,5,10,28,2,18,28,27,14,24
GO:0006289,5,10,28,2,18,29,28,15,25
GO:0006298,5,10,28,2,18,30,29,8,26
GO:0021766,54,7,29,3,4,81,74,8,46
GO:0021854,54,7,29,3,4,83,74,16,1
GO:0090102,54,7,29,3,4,256,195,13,70
GO:0001675,3,39,30,1,7,10,9,8,8
GO:0007288,3,39,30,1,7,60,54,5,11
GO:0051382,47,4,30,1,1,223,187,5,5
GO:0001655,54,34,31,3,4,9,8,7,7
GO:0021510,54,19,31,3,4,80,73,16,54
GO:0048483,54,19,31,3,4,210,179,14,10
GO:0048806,38,34,31,3,4,215,108,9,62
GO:1904888,54,20,31,3,39,289,194,11,40
GO:0001941,46,41,32,1,9,14,13,10,12
GO:0099560,52,17,32,1,23,268,219,13,39
GO:0001541,54,34,33,3,4,5,5,1,4
GO:0001824,54,40,33,3,4,13,12,10,11
GO:0001942,54,34,33,4,10,15,14,4,13
GO:0031018,54,21,33,3,41,91,82,6,57
GO:0060021,54,31,33,3,39,230,193,16,44
GO:0060324,54,32,33,3,39,233,193,9,40
GO:0060612,38,34,33,3,41,238,200,2,14
GO:0001961,18,42,34,5,11,16,15,10,14
GO:0043406,30,42,34,5,52,157,134,1,53
GO:0045745,18,42,34,5,52,183,156,5,62
GO:0045747,18,42,34,5,52,185,158,16,35
GO:0045880,18,42,34,5,27,188,50,2,59
GO:0046628,18,42,34,5,44,199,170,12,48
GO:0050857,18,42,34,5,52,218,183,4,20
GO:0051897,57,42,34,5,52,225,188,14,18
GO:0060391,57,42,34,5,27,234,196,1,52
GO:0070374,30,42,34,5,52,245,188,11,4
GO:1900745,30,42,34,5,52,280,228,8,15
GO:1901798,57,42,34,5,52,285,232,1,34
GO:2001244,57,42,34,5,33,299,232,11,1
GO:0001556,3,34,35,3,4,6,5,4,1
GO:0048240,3,30,35,1,7,208,177,4,12
GO:0001570,24,38,36,3,5,7,6,5,5
GO:0035265,25,24,36,4,30,128,110,12,57
GO:0048534,38,34,36,3,5,213,181,17,43
GO:0008543,10,14,37,6,26,65,59,15,8
GO:0038084,10,14,37,6,26,139,119,17,24
GO:0048008,10,14,37,6,26,202,173,2,56
GO:0048009,10,14,37,6,26,203,56,8,47
GO:0048010,10,14,37,6,26,204,119,17,24
GO:0060396,10,14,37,6,26,237,199,10,28
