module_id,module_size
GO:0001818,7
GO:0001819,12
GO:0003006,4
GO:0006259,4
GO:0006281,4
GO:0006810,8
GO:0006950,4
GO:0006996,4
GO:0007166,7
GO:0007169,8
GO:0007186,7
GO:0007268,4
GO:0008152,5
GO:0009056,5
GO:0009150,5
GO:0009725,4
GO:0009966,7
GO:0009967,7
GO:0009968,5
GO:0010496,5
GO:0016236,5
GO:0022618,4
GO:0030003,4
GO:0030154,8
GO:0032501,7
GO:0033554,4
GO:0035556,5
GO:0042221,5
GO:0043065,4
GO:0043410,4
GO:0045087,6
GO:0045165,4
GO:0045595,5
GO:0045596,5
GO:0045597,5
GO:0046395,4
GO:0046474,4
GO:0048513,4
GO:0048666,4
GO:0050804,5
GO:0051050,4
GO:0051239,4
GO:0051240,7
GO:0051241,7
GO:0051963,4
GO:0061024,5
GO:0065003,5
GO:0065008,5
GO:0071248,4
GO:0071345,5
GO:0090068,4
GO:0098609,8
GO:0141124,4
GO:0160108,16
GO:1901700,5
GO:1902532,8
GO:1902533,6
