ID,ground_truth_label,mapa_label,paver_label,apear_cluster,enrichplot_cluster
GO:0006506,37,1,19,32,29
GO:0006654,37,1,19,33,28
GO:0006656,37,1,19,34,30
GO:0006661,37,1,19,35,22
GO:0007200,11,2,24,46,38
GO:0008286,10,2,26,56,47
GO:0031663,9,2,43,86,11
GO:0043491,53,2,26,56,35
GO:0048015,27,2,19,175,27
GO:0031664,17,3,43,87,42
GO:0043555,26,3,15,136,64
GO:0007030,8,4,9,41,4
GO:0007031,8,4,9,42,36
GO:0031579,46,4,9,85,58
GO:0034389,8,4,9,106,49
GO:0002323,31,5,13,19,17
GO:0001649,24,6,6,7,6
GO:0002062,24,6,6,16,15
GO:0002244,24,6,5,18,16
GO:0035987,24,6,6,116,2
GO:0045444,24,6,41,142,65
GO:0045445,24,6,6,143,52
GO:0050931,24,6,6,184,58
GO:0003407,54,7,16,24,22
GO:0021772,54,7,4,75,13
GO:0019827,25,8,37,72,53
GO:0045494,25,8,16,145,70
GO:0090398,26,8,37,213,59
GO:0006308,4,9,18,30,24
GO:0030574,14,9,40,79,50
GO:0042178,14,9,17,70,36
GO:0030279,44,10,38,77,44
GO:0030857,34,10,38,80,56
GO:0045599,34,10,34,146,71
GO:0045662,34,10,38,149,37
GO:0045665,34,10,38,151,58
GO:0045668,34,10,38,77,27
GO:1902455,44,10,37,233,21
GO:0006270,4,11,18,26,23
GO:0006304,4,11,18,27,27
GO:0022616,4,11,18,76,55
GO:0010640,17,12,32,64,49
GO:0030947,17,12,32,81,55
GO:0040036,17,12,32,123,13
GO:0043567,17,12,44,137,66
GO:1900746,17,12,32,81,46
GO:2001044,17,12,26,239,11
GO:0006984,27,13,22,40,35
GO:0030968,27,13,22,40,35
GO:0006081,13,14,17,25,7
GO:0019748,13,14,17,70,52
GO:0042430,13,14,17,60,8
GO:0050435,13,14,55,182,69
GO:0015701,6,15,36,68,6
GO:0019755,6,15,36,71,17
GO:0042908,6,15,36,129,14
GO:0051180,6,15,36,186,4
GO:0072348,6,15,36,186,4
GO:0006879,23,16,20,36,31
GO:0006882,23,16,20,37,32
GO:0006883,23,16,20,38,33
GO:0030007,23,16,20,38,33
GO:0006896,20,17,21,39,34
GO:0008333,20,17,21,57,23
GO:0042147,20,17,21,124,50
GO:0045056,25,17,21,141,69
GO:0048489,6,17,21,39,46
GO:0070633,6,17,21,205,40
GO:1902774,20,17,21,57,73
GO:0000027,22,18,1,1,44
GO:0000028,22,18,1,2,1
GO:0000388,22,18,2,3,2
GO:0006376,22,18,2,31,28
GO:0031929,27,19,26,88,49
GO:0035329,27,19,50,111,65
GO:0007156,52,20,23,43,37
GO:0007157,52,20,23,44,38
GO:0007158,52,20,23,13,37
GO:0016338,52,20,23,69,51
GO:0016339,52,20,23,43,37
GO:0034113,52,20,23,51,14
GO:0044331,52,20,23,43,37
GO:0031424,25,21,10,84,30
GO:0042461,39,21,16,24,1
GO:0060119,39,21,4,195,18
GO:0007204,48,22,25,46,4
GO:0031340,41,22,42,83,29
GO:0032892,41,22,42,100,31
GO:0051590,41,22,42,100,31
GO:0051954,41,22,42,100,31
GO:2000463,18,22,42,13,6
GO:0002501,47,23,1,21,19
GO:0051131,47,23,1,185,5
GO:0001708,32,24,8,10,9
GO:0001709,32,24,8,11,10
GO:0002360,32,24,8,20,18
GO:0002227,31,25,12,17,2
GO:0061760,31,25,12,202,51
GO:0140367,31,25,12,223,17
GO:0140374,31,25,12,224,7
GO:0002719,1,26,14,22,20
GO:0032480,1,26,48,93,9
GO:0032689,1,26,48,95,56
GO:0032703,1,26,14,95,10
GO:0032715,1,26,14,94,59
GO:1900016,1,26,14,226,49
GO:0008360,48,27,30,58,42
GO:0040014,42,27,30,121,20
GO:0042634,42,27,10,128,53
GO:0060688,42,27,30,201,38
GO:0061036,43,27,40,196,12
GO:0061037,44,27,40,91,60
GO:0006284,5,28,18,27,24
GO:0006289,5,28,18,28,25
GO:0006298,5,28,18,29,26
GO:0021766,54,29,4,74,46
GO:0021854,54,29,4,74,1
GO:0090102,54,29,4,195,70
GO:0001675,3,30,7,9,8
GO:0007288,3,30,7,54,11
GO:0051382,47,30,1,187,5
GO:0001655,54,31,4,8,7
GO:0021510,54,31,4,73,54
GO:0048483,54,31,4,179,10
GO:0048806,38,31,4,108,62
GO:1904888,54,31,39,194,40
GO:0001941,46,32,9,13,12
GO:0099560,52,32,23,219,39
GO:0001541,54,33,4,5,4
GO:0001824,54,33,4,12,11
GO:0001942,54,33,10,14,13
GO:0031018,54,33,41,82,57
GO:0060021,54,33,39,193,44
GO:0060324,54,33,39,193,40
GO:0060612,38,33,41,200,14
GO:0001961,18,34,11,15,14
GO:0043406,30,34,52,134,53
GO:0045745,18,34,52,156,62
GO:0045747,18,34,52,158,35
GO:0045880,18,34,27,50,59
GO:0046628,18,34,44,170,48
GO:0050857,18,34,52,183,20
GO:0051897,57,34,52,188,18
GO:0060391,57,34,27,196,52
GO:0070374,30,34,52,188,4
GO:1900745,30,34,52,228,15
GO:1901798,57,34,52,232,34
GO:2001244,57,34,33,232,1
GO:0001556,3,35,4,5,1
GO:0048240,3,35,7,177,12
GO:0001570,24,36,5,6,5
GO:0035265,25,36,30,110,57
GO:0048534,38,36,5,181,43
GO:0008543,10,37,26,59,8
GO:0038084,10,37,26,119,24
GO:0048008,10,37,26,173,56
GO:0048009,10,37,26,56,47
GO:0048010,10,37,26,119,24
GO:0060396,10,37,26,199,28
GO:0008038,39,38,16,55,46
GO:0042551,39,38,16,127,68
GO:0048663,32,38,8,10,9
GO:0009074,36,39,17,60,8
GO:0009083,36,39,17,61,48
GO:0042219,14,39,17,125,67
GO:0043171,14,39,17,133,31
GO:0043649,36,39,17,139,9
GO:0044273,14,39,17,125,67
GO:0170035,36,39,17,61,8
GO:0000423,21,40,3,4,3
GO:0044804,21,40,3,4,3
GO:0061709,21,40,3,4,3
GO:0030324,38,41,39,78,25
GO:0060037,54,41,39,194,7
GO:0002931,7,42,15,23,21
GO:0009409,7,42,31,62,19
GO:0035902,7,42,15,115,24
GO:0071456,26,42,15,208,36
GO:0010744,35,43,34,66,29
GO:0045600,35,43,34,147,12
GO:0045663,35,43,46,150,22
GO:0010661,29,44,33,65,50
GO:0043525,29,44,33,135,67
GO:2000108,29,44,33,236,13
GO:2000353,29,44,33,237,18
GO:0032098,48,45,44,89,59
GO:0043114,48,45,32,130,51
GO:0007187,11,46,24,45,39
GO:0007212,11,46,24,47,40
GO:0007213,11,46,24,45,41
GO:0007218,11,46,24,48,42
GO:0071875,11,46,24,211,57
GO:0007224,9,47,27,50,43
GO:0060395,53,47,27,198,26
GO:0071526,9,47,26,209,17
GO:0007219,9,48,26,49,11
GO:0007229,9,48,26,51,20
GO:0035590,9,48,26,102,26
GO:0038179,9,48,26,120,66
GO:0048013,10,48,26,174,28
GO:0070098,11,48,26,204,39
GO:0010575,2,49,32,63,45
GO:0032722,2,49,11,96,61
GO:0045907,43,49,32,161,39
GO:0048520,43,49,42,180,72
GO:0120162,43,49,58,221,16
GO:0010984,42,50,35,67,16
GO:0034381,25,50,35,67,42
GO:0097242,25,50,55,141,69
GO:0007249,53,51,28,52,22
GO:0038061,53,51,28,52,22
GO:0007271,12,52,29,53,44
GO:0035249,12,52,29,109,19
GO:0051932,12,52,29,190,8
GO:0007274,12,53,29,53,45
GO:0032228,40,54,45,90,56
GO:0099149,48,54,45,216,28
GO:0099170,40,54,45,217,65
GO:0099171,40,54,45,53,19
GO:0099550,40,54,45,218,41
GO:0033280,55,55,31,103,19
GO:0034698,16,55,31,108,19
GO:0043627,16,55,31,138,67
GO:0044321,16,55,44,140,65
GO:0097066,16,55,31,214,25
GO:0040019,43,56,30,122,23
GO:0045618,43,56,46,148,30
GO:0045666,35,56,46,152,45
GO:0045669,35,56,46,153,49
GO:1902459,43,56,37,233,21
GO:0032467,51,57,47,92,55
GO:0045840,51,57,47,159,68
GO:0051984,51,57,47,192,62
GO:0090267,51,57,47,192,68
GO:0033144,56,58,49,101,63
GO:0034122,19,58,49,105,6
GO:0035331,56,58,50,112,15
GO:0043124,56,58,49,132,66
GO:0045744,19,58,49,155,64
GO:0045746,19,58,49,157,54
GO:0045879,19,58,49,160,60
GO:0046627,19,58,44,169,70
GO:0051898,56,58,49,189,20
GO:0060392,56,58,49,197,31
GO:0141162,56,58,49,164,29
GO:1900102,56,58,49,227,53
GO:1901223,56,58,49,229,67
GO:0032729,2,59,48,97,16
GO:0032733,2,59,11,96,62
GO:0032735,2,59,11,96,61
GO:0032736,2,59,11,98,47
GO:0032740,2,59,11,99,23
GO:0032743,2,59,11,97,21
GO:0032753,2,59,11,98,47
GO:0032755,2,59,11,96,61
GO:0032757,2,59,11,96,61
GO:1900017,2,59,11,215,66
GO:0032682,1,60,14,94,48
GO:0034104,44,60,38,104,53
GO:0046621,44,60,30,168,9
GO:0050805,40,60,45,90,33
GO:0120163,44,60,58,222,58
GO:1903523,44,60,32,234,54
GO:0035459,6,61,51,114,58
GO:0048208,47,61,51,176,66
GO:0048268,47,61,51,178,21
GO:0035458,50,62,13,113,44
GO:0071346,50,62,13,207,45
GO:0071353,50,62,13,199,34
GO:0071354,50,62,13,20,51
GO:0097398,50,62,13,215,37
GO:0045730,13,63,53,154,66
GO:0043123,57,64,52,131,5
GO:0046330,30,64,52,166,71
GO:1901224,57,64,52,230,56
GO:0035094,28,65,31,53,64
GO:0042220,55,65,31,126,38
GO:0071731,55,65,31,210,21
GO:0033198,55,66,31,102,26
GO:0045472,55,66,31,144,38
GO:0046677,28,66,53,171,40
GO:0046685,28,66,53,172,1
GO:1902074,28,66,31,172,67
GO:0046033,15,67,54,162,72
GO:0046037,15,67,54,162,72
GO:0046039,15,67,54,163,64
GO:0046058,15,67,54,164,64
GO:0046068,15,67,54,165,56
GO:0036503,28,68,22,118,50
GO:0036297,5,69,18,117,63
GO:0034605,26,70,31,107,25
GO:0071276,49,70,53,37,32
GO:0071277,49,70,53,206,65
GO:0071280,49,70,53,37,32
GO:0071294,49,70,53,37,32
GO:0097501,7,70,53,37,32
GO:0046597,31,71,49,167,31
GO:0032330,33,72,46,91,60
GO:1901532,33,72,46,231,41
GO:1905207,33,72,46,235,45
GO:2000736,33,72,46,231,41
GO:2001014,33,72,46,238,24
GO:0061909,21,73,3,203,60
GO:0090382,8,73,3,212,33
GO:0097352,21,73,3,57,73
GO:0061952,46,74,57,57,73
GO:0090148,46,74,57,57,73
GO:0051209,20,75,25,175,2
GO:0051965,45,76,56,191,10
GO:0150052,45,76,56,225,52
GO:1904889,45,76,56,191,29
GO:1905606,45,76,56,219,39
GO:0120009,46,77,21,220,34
